checklist_order,frontier_id,status,evidence_path,expected_output,next_step,checklist_goal,status_note,next_gate
11,wave2_meeteval_gold_cer_cpwer_reconciliation,module_present,src/meeteval_gold_cer_cpwer_reconciliation.py,results/figures/meeteval_gold_cer_cpwer_reconciliation.md,Run python -m src.meeteval_gold_cer_cpwer_reconciliation to compare gold CER and cpWER.,Verify the frontier status entry for wave2_meeteval_gold_cer_cpwer_reconciliation before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
12,wave2_synthetic_router_boundary_alignment,module_present,src/synthetic_router_boundary_alignment.py,results/figures/synthetic_router_boundary_alignment.md,Run python -m src.synthetic_router_boundary_alignment for held-out synthetic router audit.,Verify the frontier status entry for wave2_synthetic_router_boundary_alignment before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
13,wave2_risk_aware_boundary_audit,module_present,src/risk_aware_boundary_audit.py,results/figures/risk_aware_boundary_audit.md,Run python -m src.risk_aware_boundary_audit to audit the risk-aware selector.,Verify the frontier status entry for wave2_risk_aware_boundary_audit before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
14,wave2_cascade_boundary_bridge,module_present,src/cascade_boundary_bridge.py,results/figures/cascade_boundary_bridge.md,Run python -m src.cascade_boundary_bridge to bridge cascade strategies to phase boundaries.,Verify the frontier status entry for wave2_cascade_boundary_bridge before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
15,wave2_speaker_profile_multisignal_gold_sweep,module_present,src/speaker_profile_multisignal_gold_sweep.py,results/figures/speaker_profile_multisignal_gold_sweep.md,Run python -m src.speaker_profile_multisignal_gold_sweep for all-gold multisignal sweep.,Verify the frontier status entry for wave2_speaker_profile_multisignal_gold_sweep before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
16,wave2_llm_critic_qualitative_brief_light_mid,module_delivered,src/llm_critic_qualitative_brief_light_mid.py,results/figures/llm_critic_qualitative_brief_light_mid.md,Run python -m src.llm_critic_qualitative_brief_light_mid for qualitative/demo Light/Mid brief.,Verify the frontier status entry for wave2_llm_critic_qualitative_brief_light_mid before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
17,wave3_external_validation_license_confirmation,module_present,src/external_validation_license_confirmation.py,results/figures/external_validation_license_confirmation.md,Run python -m src.external_validation_license_confirmation to record AISHELL-4 CC BY-SA research confirmation.,Verify the frontier status entry for wave3_external_validation_license_confirmation before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
18,wave3_external_validation_mini_sanity_check,module_present,src/external_validation_mini_sanity_check.py,results/figures/external_validation_mini_sanity_check.md,Run python -m src.external_validation_mini_sanity_check after license confirmation.,Verify the frontier status entry for wave3_external_validation_mini_sanity_check before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
19,wave3_external_validation_audio_excerpt_staging_plan,module_present,src/external_validation_audio_excerpt_staging_plan.py,results/figures/external_validation_audio_excerpt_staging_plan.md,Run python -m src.external_validation_audio_excerpt_staging_plan before local AISHELL-4 download.,Verify the frontier status entry for wave3_external_validation_audio_excerpt_staging_plan before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
20,wave3_external_validation_aishell4_excerpt_fetch,module_present,src/external_validation_aishell4_excerpt_fetch.py,resources/external_sanity_check/aishell4/meeting_excerpt_stub_001.wav,Run python -m src.external_validation_aishell4_excerpt_fetch after license confirmation.,Verify the frontier status entry for wave3_external_validation_aishell4_excerpt_fetch before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
21,wave3_external_validation_staging_execution_receipt_fill,module_present,src/external_validation_staging_execution_receipt_fill.py,results/tables/external_validation_staging_execution_receipt_fill.json,Run python -m src.external_validation_staging_execution_receipt_fill after excerpt fetch.,Verify the frontier status entry for wave3_external_validation_staging_execution_receipt_fill before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
22,wave3_external_validation_narrow_audio_eval,module_delivered,src/external_validation_narrow_audio_eval.py,results/tables/external_validation_narrow_audio_eval.json,Run python -m src.external_validation_narrow_audio_eval after execution receipt fill.,Verify the frontier status entry for wave3_external_validation_narrow_audio_eval before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
23,wave3_external_validation_narrow_audio_eval_receipt,module_delivered,src/external_validation_narrow_audio_eval_receipt.py,results/tables/external_validation_narrow_audio_eval_receipt.json,Run python -m src.external_validation_narrow_audio_eval_receipt after narrow ASR eval.,Verify the frontier status entry for wave3_external_validation_narrow_audio_eval_receipt before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
24,wave4_speaker_profile_embedding_trial_execution_receipt_fill,module_delivered,src/speaker_profile_embedding_trial_execution_receipt_fill.py,results/tables/speaker_profile_embedding_trial_execution_receipt_fill.json,Run python -m src.speaker_profile_embedding_trial_execution_receipt_fill after receipt readiness.,Verify the frontier status entry for wave4_speaker_profile_embedding_trial_execution_receipt_fill before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
25,wave4_llm_critic_qualitative_writeback,module_delivered,src/llm_critic_qualitative_writeback.py,results/tables/llm_critic_qualitative_writeback.json,Run python -m src.llm_critic_qualitative_writeback when qualitative_writeback_ready.,Verify the frontier status entry for wave4_llm_critic_qualitative_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
26,wave4_demo_presentation_writeback,module_delivered,src/demo_presentation_writeback.py,results/tables/demo_presentation_writeback.json,Run python -m src.demo_presentation_writeback when presentation_writeback_ready.,Verify the frontier status entry for wave4_demo_presentation_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
27,wave5_meeteval_character_level_execution_receipt_fill,module_delivered,src/meeteval_cpwer_character_level_execution_receipt_fill.py,results/tables/meeteval_cpwer_character_level_execution_receipt_fill.json,Run python -m src.meeteval_cpwer_character_level_execution_receipt_fill after character-level cpWER execution.,Verify the frontier status entry for wave5_meeteval_character_level_execution_receipt_fill before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
28,wave5_cascade_frontier_coordination_writeback,module_delivered,src/cascade_frontier_coordination_writeback.py,results/tables/cascade_frontier_coordination_writeback.json,Run python -m src.cascade_frontier_coordination_writeback after MeetEval character-level receipt fill.,Verify the frontier status entry for wave5_cascade_frontier_coordination_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
29,wave5_separation_phase_coordination_writeback,module_delivered,src/separation_phase_coordination_writeback.py,results/tables/separation_phase_coordination_writeback.json,Run python -m src.separation_phase_coordination_writeback after cascade coordination writeback.,Verify the frontier status entry for wave5_separation_phase_coordination_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
30,wave5_demo_presentation_writeback,module_delivered,src/demo_wave5_presentation_writeback.py,results/tables/demo_wave5_presentation_writeback.json,Run python -m src.demo_wave5_presentation_writeback after phase coordination writeback.,Verify the frontier status entry for wave5_demo_presentation_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
31,wave6_frontier_coordination_closure_writeback,module_delivered,src/wave6_frontier_coordination_closure_writeback.py,results/tables/wave6_frontier_coordination_closure_writeback.json,Run python -m src.wave6_frontier_coordination_closure_writeback after Wave5 coordination chain.,Verify the frontier status entry for wave6_frontier_coordination_closure_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
32,wave6_cascade_benchmark_readiness_coordination_writeback,module_delivered,src/cascade_benchmark_readiness_coordination_writeback.py,results/tables/cascade_benchmark_readiness_coordination_writeback.json,Run python -m src.cascade_benchmark_readiness_coordination_writeback after Wave6 closure.,Verify the frontier status entry for wave6_cascade_benchmark_readiness_coordination_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
33,wave6_demo_presentation_writeback,module_delivered,src/demo_wave6_presentation_writeback.py,results/tables/demo_wave6_presentation_writeback.json,Run python -m src.demo_wave6_presentation_writeback after benchmark coordination writeback.,Verify the frontier status entry for wave6_demo_presentation_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
34,wave7_exploration_baseline_closure_writeback,module_delivered,src/wave7_exploration_baseline_closure_writeback.py,results/tables/wave7_exploration_baseline_closure_writeback.json,Run python -m src.wave7_exploration_baseline_closure_writeback after Wave6 chain.,Verify the frontier status entry for wave7_exploration_baseline_closure_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
35,wave7_demo_presentation_writeback,module_delivered,src/demo_wave7_presentation_writeback.py,results/tables/demo_wave7_presentation_writeback.json,Run python -m src.demo_wave7_presentation_writeback after Wave7 closure writeback.,Verify the frontier status entry for wave7_demo_presentation_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
36,wave7_speaker_profile_case_scope_coordination_writeback,module_delivered,src/speaker_profile_case_scope_coordination_writeback.py,results/tables/speaker_profile_case_scope_coordination_writeback.json,Run python -m src.speaker_profile_case_scope_coordination_writeback after Wave7 closure.,Verify the frontier status entry for wave7_speaker_profile_case_scope_coordination_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
37,wave7_cascade_benchmark_manifest_coordination_writeback,module_delivered,src/cascade_benchmark_manifest_coordination_writeback.py,results/tables/cascade_benchmark_manifest_coordination_writeback.json,Run python -m src.cascade_benchmark_manifest_coordination_writeback after speaker profile case-scope.,Verify the frontier status entry for wave7_cascade_benchmark_manifest_coordination_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
38,wave8_exploration_baseline_closure_writeback,module_delivered,src/wave8_exploration_baseline_closure_writeback.py,results/tables/wave8_exploration_baseline_closure_writeback.json,Run python -m src.wave8_exploration_baseline_closure_writeback after Wave7 chain.,Verify the frontier status entry for wave8_exploration_baseline_closure_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
39,wave8_demo_presentation_writeback,module_delivered,src/demo_wave8_presentation_writeback.py,results/tables/demo_wave8_presentation_writeback.json,Run python -m src.demo_wave8_presentation_writeback after Wave8 closure writeback.,Verify the frontier status entry for wave8_demo_presentation_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
40,wave8_speaker_profile_lightoverlap_diagnostic_coordination_writeback,module_delivered,src/speaker_profile_lightoverlap_diagnostic_coordination_writeback.py,results/tables/speaker_profile_lightoverlap_diagnostic_coordination_writeback.json,Run python -m src.speaker_profile_lightoverlap_diagnostic_coordination_writeback after Wave8 closure.,Verify the frontier status entry for wave8_speaker_profile_lightoverlap_diagnostic_coordination_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
41,wave8_cascade_benchmark_evidence_receipt_coordination_writeback,module_delivered,src/cascade_benchmark_evidence_receipt_coordination_writeback.py,results/tables/cascade_benchmark_evidence_receipt_coordination_writeback.json,Run python -m src.cascade_benchmark_evidence_receipt_coordination_writeback after LightOverlap coordination.,Verify the frontier status entry for wave8_cascade_benchmark_evidence_receipt_coordination_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
42,wave9_exploration_baseline_closure_writeback,module_delivered,src/wave9_exploration_baseline_closure_writeback.py,results/tables/wave9_exploration_baseline_closure_writeback.json,Run python -m src.wave9_exploration_baseline_closure_writeback after Wave8 chain.,Verify the frontier status entry for wave9_exploration_baseline_closure_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
43,wave9_demo_presentation_writeback,module_delivered,src/demo_wave9_presentation_writeback.py,results/tables/demo_wave9_presentation_writeback.json,Run python -m src.demo_wave9_presentation_writeback after Wave9 closure writeback.,Verify the frontier status entry for wave9_demo_presentation_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
44,wave9_speaker_profile_midoverlap_diagnostic_coordination_writeback,module_delivered,src/speaker_profile_midoverlap_diagnostic_coordination_writeback.py,results/tables/speaker_profile_midoverlap_diagnostic_coordination_writeback.json,Run python -m src.speaker_profile_midoverlap_diagnostic_coordination_writeback after LightOverlap coordination.,Verify the frontier status entry for wave9_speaker_profile_midoverlap_diagnostic_coordination_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
45,wave9_cascade_benchmark_phase1_gate_coordination_writeback,module_delivered,src/cascade_benchmark_phase1_gate_coordination_writeback.py,results/tables/cascade_benchmark_phase1_gate_coordination_writeback.json,Run python -m src.cascade_benchmark_phase1_gate_coordination_writeback after MidOverlap coordination.,Verify the frontier status entry for wave9_cascade_benchmark_phase1_gate_coordination_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
46,wave10_exploration_baseline_closure_writeback,module_delivered,src/wave10_exploration_baseline_closure_writeback.py,results/tables/wave10_exploration_baseline_closure_writeback.json,Run python -m src.wave10_exploration_baseline_closure_writeback after Wave9 chain.,Verify the frontier status entry for wave10_exploration_baseline_closure_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
47,wave10_demo_presentation_writeback,module_delivered,src/demo_wave10_presentation_writeback.py,results/tables/demo_wave10_presentation_writeback.json,Run python -m src.demo_wave10_presentation_writeback after Wave10 closure writeback.,Verify the frontier status entry for wave10_demo_presentation_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
48,wave10_meeteval_cpwer_narrow_dry_run_coordination_writeback,module_delivered,src/meeteval_cpwer_narrow_dry_run_coordination_writeback.py,results/tables/meeteval_cpwer_narrow_dry_run_coordination_writeback.json,Run python -m src.meeteval_cpwer_narrow_dry_run_coordination_writeback after demo wave10.,Verify the frontier status entry for wave10_meeteval_cpwer_narrow_dry_run_coordination_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
49,wave10_cascade_benchmark_phase2_gate_coordination_writeback,module_delivered,src/cascade_benchmark_phase2_gate_coordination_writeback.py,results/tables/cascade_benchmark_phase2_gate_coordination_writeback.json,Run python -m src.cascade_benchmark_phase2_gate_coordination_writeback after MeetEval coordination.,Verify the frontier status entry for wave10_cascade_benchmark_phase2_gate_coordination_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
50,wave11_exploration_baseline_closure_writeback,module_delivered,src/wave11_exploration_baseline_closure_writeback.py,results/tables/wave11_exploration_baseline_closure_writeback.json,Run python -m src.wave11_exploration_baseline_closure_writeback after Wave10 chain.,Verify the frontier status entry for wave11_exploration_baseline_closure_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
51,wave11_demo_presentation_writeback,module_delivered,src/demo_wave11_presentation_writeback.py,results/tables/demo_wave11_presentation_writeback.json,Run python -m src.demo_wave11_presentation_writeback after Wave11 closure writeback.,Verify the frontier status entry for wave11_demo_presentation_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
52,wave11_external_validation_narrow_slice_coordination_writeback,module_delivered,src/external_validation_narrow_slice_coordination_writeback.py,results/tables/external_validation_narrow_slice_coordination_writeback.json,Run python -m src.external_validation_narrow_slice_coordination_writeback after demo wave11.,Verify the frontier status entry for wave11_external_validation_narrow_slice_coordination_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
53,wave11_cascade_benchmark_phase3_gate_coordination_writeback,module_delivered,src/cascade_benchmark_phase3_gate_coordination_writeback.py,results/tables/cascade_benchmark_phase3_gate_coordination_writeback.json,Run python -m src.cascade_benchmark_phase3_gate_coordination_writeback after external validation coordination.,Verify the frontier status entry for wave11_cascade_benchmark_phase3_gate_coordination_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
54,wave12_exploration_baseline_closure_writeback,module_delivered,src/wave12_exploration_baseline_closure_writeback.py,results/tables/wave12_exploration_baseline_closure_writeback.json,Run python -m src.wave12_exploration_baseline_closure_writeback after Wave11 chain.,Verify the frontier status entry for wave12_exploration_baseline_closure_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
55,wave12_demo_presentation_writeback,module_delivered,src/demo_wave12_presentation_writeback.py,results/tables/demo_wave12_presentation_writeback.json,Run python -m src.demo_wave12_presentation_writeback after Wave12 closure writeback.,Verify the frontier status entry for wave12_demo_presentation_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
56,wave12_speaker_profile_heavyoverlap_diagnostic_coordination_writeback,module_delivered,src/speaker_profile_heavyoverlap_diagnostic_coordination_writeback.py,results/tables/speaker_profile_heavyoverlap_diagnostic_coordination_writeback.json,Run python -m src.speaker_profile_heavyoverlap_diagnostic_coordination_writeback after demo wave12.,Verify the frontier status entry for wave12_speaker_profile_heavyoverlap_diagnostic_coordination_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
57,wave12_llm_critic_narrow_dry_run_coordination_writeback,module_delivered,src/llm_critic_narrow_dry_run_coordination_writeback.py,results/tables/llm_critic_narrow_dry_run_coordination_writeback.json,Run python -m src.llm_critic_narrow_dry_run_coordination_writeback after HeavyOverlap coordination.,Verify the frontier status entry for wave12_llm_critic_narrow_dry_run_coordination_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
58,wave13_exploration_baseline_closure_writeback,module_delivered,src/wave13_exploration_baseline_closure_writeback.py,results/tables/wave13_exploration_baseline_closure_writeback.json,Run python -m src.wave13_exploration_baseline_closure_writeback after Wave12 chain.,Verify the frontier status entry for wave13_exploration_baseline_closure_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
59,wave13_demo_presentation_writeback,module_delivered,src/demo_wave13_presentation_writeback.py,results/tables/demo_wave13_presentation_writeback.json,Run python -m src.demo_wave13_presentation_writeback after Wave13 closure writeback.,Verify the frontier status entry for wave13_demo_presentation_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
60,wave13_speaker_profile_oppositeoverlap_diagnostic_coordination_writeback,module_delivered,src/speaker_profile_oppositeoverlap_diagnostic_coordination_writeback.py,results/tables/speaker_profile_oppositeoverlap_diagnostic_coordination_writeback.json,Run python -m src.speaker_profile_oppositeoverlap_diagnostic_coordination_writeback after demo wave13.,Verify the frontier status entry for wave13_speaker_profile_oppositeoverlap_diagnostic_coordination_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
61,wave13_cascade_benchmark_phase4_gate_coordination_writeback,module_delivered,src/cascade_benchmark_phase4_gate_coordination_writeback.py,results/tables/cascade_benchmark_phase4_gate_coordination_writeback.json,Run python -m src.cascade_benchmark_phase4_gate_coordination_writeback after OppositeOverlap coordination.,Verify the frontier status entry for wave13_cascade_benchmark_phase4_gate_coordination_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
62,wave14_exploration_baseline_closure_writeback,module_delivered,src/wave14_exploration_baseline_closure_writeback.py,results/tables/wave14_exploration_baseline_closure_writeback.json,Run python -m src.wave14_exploration_baseline_closure_writeback after Wave13 chain.,Verify the frontier status entry for wave14_exploration_baseline_closure_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
63,wave14_demo_presentation_writeback,module_delivered,src/demo_wave14_presentation_writeback.py,results/tables/demo_wave14_presentation_writeback.json,Run python -m src.demo_wave14_presentation_writeback after Wave14 closure writeback.,Verify the frontier status entry for wave14_demo_presentation_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
64,wave14_meeteval_official_narrow_dry_run_coordination_writeback,module_delivered,src/meeteval_official_narrow_dry_run_coordination_writeback.py,results/tables/meeteval_official_narrow_dry_run_coordination_writeback.json,Run python -m src.meeteval_official_narrow_dry_run_coordination_writeback after demo wave14.,Verify the frontier status entry for wave14_meeteval_official_narrow_dry_run_coordination_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
65,wave14_cascade_benchmark_phase5_gate_coordination_writeback,module_delivered,src/cascade_benchmark_phase5_gate_coordination_writeback.py,results/tables/cascade_benchmark_phase5_gate_coordination_writeback.json,Run python -m src.cascade_benchmark_phase5_gate_coordination_writeback after MeetEval official coordination.,Verify the frontier status entry for wave14_cascade_benchmark_phase5_gate_coordination_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
66,wave15_exploration_baseline_closure_writeback,module_delivered,src/wave15_exploration_baseline_closure_writeback.py,results/tables/wave15_exploration_baseline_closure_writeback.json,Run python -m src.wave15_exploration_baseline_closure_writeback after Wave14 chain.,Verify the frontier status entry for wave15_exploration_baseline_closure_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
67,wave15_demo_presentation_writeback,module_delivered,src/demo_wave15_presentation_writeback.py,results/tables/demo_wave15_presentation_writeback.json,Run python -m src.demo_wave15_presentation_writeback after Wave15 closure writeback.,Verify the frontier status entry for wave15_demo_presentation_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
68,wave15_external_validation_narrow_slice_coordination_writeback,module_delivered,src/wave15_external_validation_narrow_slice_coordination_writeback.py,results/tables/wave15_external_validation_narrow_slice_coordination_writeback.json,Run python -m src.wave15_external_validation_narrow_slice_coordination_writeback after demo wave15.,Verify the frontier status entry for wave15_external_validation_narrow_slice_coordination_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
69,wave15_llm_critic_narrow_dry_run_coordination_writeback,module_delivered,src/wave15_llm_critic_narrow_dry_run_coordination_writeback.py,results/tables/wave15_llm_critic_narrow_dry_run_coordination_writeback.json,Run python -m src.wave15_llm_critic_narrow_dry_run_coordination_writeback after external validation coordination.,Verify the frontier status entry for wave15_llm_critic_narrow_dry_run_coordination_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
70,wave16_exploration_baseline_closure_writeback,module_delivered,src/wave16_exploration_baseline_closure_writeback.py,results/tables/wave16_exploration_baseline_closure_writeback.json,Run python -m src.wave16_exploration_baseline_closure_writeback after Wave15 chain.,Verify the frontier status entry for wave16_exploration_baseline_closure_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
71,wave16_demo_presentation_writeback,module_delivered,src/demo_wave16_presentation_writeback.py,results/tables/demo_wave16_presentation_writeback.json,Run python -m src.demo_wave16_presentation_writeback after Wave16 closure writeback.,Verify the frontier status entry for wave16_demo_presentation_writeback before it is converted into queue order.,"Read the evidence path first, then confirm the expected output and next step before advancing.",Confirm this status row before building the execution queue.
