sample_id,split,overlap_ratio,best_route_label,mixed_cer,separated_cer,cleaned_cer,label_source,evidence_type
audio_depth_stress_v1_0021,test,0.0,mixed,0.04,0.33,0.263,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0022,dev,0.1,mixed,0.098,0.23,0.215,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0023,train,0.2,mixed,0.156,0.21,0.217,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0024,train,0.3,separated,0.214,0.19,0.219,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0025,train,0.4,separated,0.272,0.18,0.22,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0026,test,0.5,separated,0.33,0.18,0.22,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0027,dev,0.6,separated,0.388,0.18,0.22,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0028,train,0.7,separated,0.446,0.18,0.22,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0029,train,0.8,separated,0.504,0.1836,0.2236,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0030,train,0.9,separated,0.562,0.2016,0.2456,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0031,test,0.0,mixed,0.084,0.5445,0.285,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0032,dev,0.1,mixed,0.142,0.252,0.237,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0033,train,0.2,mixed,0.2,0.232,0.239,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0034,train,0.3,separated,0.258,0.212,0.241,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0035,train,0.4,separated,0.316,0.202,0.242,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0036,test,0.5,separated,0.374,0.202,0.242,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0037,dev,0.6,separated,0.432,0.202,0.242,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0038,train,0.7,separated,0.49,0.202,0.242,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0039,train,0.8,separated,0.548,0.2056,0.2456,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0040,train,0.9,separated,0.606,0.2236,0.2676,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0041,test,0.0,mixed,0.086,0.5055,0.281,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0042,dev,0.1,mixed,0.144,0.248,0.233,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0043,train,0.2,mixed,0.202,0.228,0.235,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0044,train,0.3,separated,0.26,0.208,0.237,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0045,train,0.4,separated,0.318,0.198,0.238,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0046,test,0.5,separated,0.376,0.198,0.238,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0047,dev,0.6,separated,0.434,0.198,0.238,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0048,train,0.7,separated,0.492,0.198,0.238,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0049,train,0.8,separated,0.55,0.2016,0.2416,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0050,train,0.9,separated,0.608,0.2196,0.2636,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0051,test,0.0,mixed,0.086,0.5055,0.281,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0052,dev,0.1,mixed,0.144,0.248,0.233,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0053,train,0.2,mixed,0.202,0.228,0.235,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0054,train,0.3,separated,0.26,0.208,0.237,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0055,train,0.4,separated,0.318,0.198,0.238,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0056,test,0.5,separated,0.376,0.198,0.238,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0057,dev,0.6,separated,0.434,0.198,0.238,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0058,train,0.7,separated,0.492,0.198,0.238,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0059,train,0.8,separated,0.55,0.2016,0.2416,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0060,train,0.9,separated,0.608,0.2196,0.2636,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0061,test,0.0,mixed,0.05,0.33,0.263,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0062,dev,0.1,mixed,0.108,0.23,0.215,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0063,train,0.2,mixed,0.166,0.21,0.217,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0064,train,0.3,separated,0.224,0.19,0.219,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0065,train,0.4,separated,0.282,0.18,0.22,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0066,test,0.5,separated,0.34,0.18,0.22,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0067,dev,0.6,separated,0.398,0.18,0.22,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0068,train,0.7,separated,0.456,0.18,0.22,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0069,train,0.8,separated,0.514,0.1836,0.2236,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0070,train,0.9,separated,0.572,0.2016,0.2456,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0071,test,0.0,mixed,0.094,0.5445,0.285,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0072,dev,0.1,mixed,0.152,0.252,0.237,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0073,train,0.2,mixed,0.21,0.232,0.239,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0074,train,0.3,separated,0.268,0.212,0.241,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0075,train,0.4,separated,0.326,0.202,0.242,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0076,test,0.5,separated,0.384,0.202,0.242,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0077,dev,0.6,separated,0.442,0.202,0.242,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0078,train,0.7,separated,0.5,0.202,0.242,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0079,train,0.8,separated,0.558,0.2056,0.2456,stress_proxy_cer_argmin,synthetic/silver_proxy
audio_depth_stress_v1_0080,train,0.9,separated,0.616,0.2236,0.2676,stress_proxy_cer_argmin,synthetic/silver_proxy
