candidate_id,intended_family,expected_winner,overlap_ratio,dominance_type,stress_seed,final_rank
controlled_route_sensitive_v2_candidate_0029,mixed_win_anchor,mixed,0.15,speaker_A_dominant,377,113
controlled_route_sensitive_v2_candidate_0030,separated_win_anchor,separated,0.85,speaker_A_dominant,390,150
controlled_route_sensitive_v2_candidate_0031,cleaned_win_anchor,cleaned,0.55,speaker_A_dominant,403,187
controlled_route_sensitive_v2_candidate_0032,review_needed_anchor,review_needed,0.9,speaker_A_dominant,416,224
controlled_route_sensitive_v2_candidate_0033,mixed_win_anchor,mixed,0.0,speaker_A_dominant,429,21
controlled_route_sensitive_v2_candidate_0034,separated_win_anchor,separated,0.55,speaker_A_dominant,442,58
controlled_route_sensitive_v2_candidate_0035,cleaned_win_anchor,cleaned,0.25,speaker_A_dominant,455,95
controlled_route_sensitive_v2_candidate_0036,review_needed_anchor,review_needed,0.3,speaker_B_dominant,468,132
controlled_route_sensitive_v2_candidate_0037,mixed_win_anchor,mixed,0.05,speaker_B_dominant,481,169
controlled_route_sensitive_v2_candidate_0038,separated_win_anchor,separated,0.65,speaker_B_dominant,494,206
controlled_route_sensitive_v2_candidate_0039,cleaned_win_anchor,cleaned,0.35,speaker_B_dominant,507,3
controlled_route_sensitive_v2_candidate_0040,review_needed_anchor,review_needed,0.5,speaker_B_dominant,520,40
controlled_route_sensitive_v2_candidate_0041,mixed_win_anchor,mixed,0.1,speaker_B_dominant,533,77
controlled_route_sensitive_v2_candidate_0042,separated_win_anchor,separated,0.75,speaker_B_dominant,546,114
controlled_route_sensitive_v2_candidate_0043,cleaned_win_anchor,cleaned,0.45,balanced,559,151
controlled_route_sensitive_v2_candidate_0044,review_needed_anchor,review_needed,0.7,balanced,572,188
controlled_route_sensitive_v2_candidate_0045,mixed_win_anchor,mixed,0.15,balanced,585,225
controlled_route_sensitive_v2_candidate_0046,separated_win_anchor,separated,0.85,balanced,598,22
controlled_route_sensitive_v2_candidate_0047,cleaned_win_anchor,cleaned,0.55,balanced,611,59
controlled_route_sensitive_v2_candidate_0048,review_needed_anchor,review_needed,0.9,balanced,624,96
controlled_route_sensitive_v2_candidate_0049,mixed_win_anchor,mixed,0.0,balanced,637,133
controlled_route_sensitive_v2_candidate_0050,separated_win_anchor,separated,0.55,speaker_A_dominant,650,170
controlled_route_sensitive_v2_candidate_0051,cleaned_win_anchor,cleaned,0.25,speaker_A_dominant,663,207
controlled_route_sensitive_v2_candidate_0052,review_needed_anchor,review_needed,0.3,speaker_A_dominant,676,4
controlled_route_sensitive_v2_candidate_0053,mixed_win_anchor,mixed,0.05,speaker_A_dominant,689,41
controlled_route_sensitive_v2_candidate_0054,separated_win_anchor,separated,0.65,speaker_A_dominant,702,78
controlled_route_sensitive_v2_candidate_0055,cleaned_win_anchor,cleaned,0.35,speaker_A_dominant,715,115
controlled_route_sensitive_v2_candidate_0056,review_needed_anchor,review_needed,0.5,speaker_A_dominant,728,152
controlled_route_sensitive_v2_candidate_0057,mixed_win_anchor,mixed,0.1,speaker_B_dominant,741,189
controlled_route_sensitive_v2_candidate_0058,separated_win_anchor,separated,0.75,speaker_B_dominant,754,226
controlled_route_sensitive_v2_candidate_0059,cleaned_win_anchor,cleaned,0.45,speaker_B_dominant,767,23
controlled_route_sensitive_v2_candidate_0060,review_needed_anchor,review_needed,0.7,speaker_B_dominant,780,60
controlled_route_sensitive_v2_candidate_0061,mixed_win_anchor,mixed,0.15,speaker_B_dominant,793,97
controlled_route_sensitive_v2_candidate_0062,separated_win_anchor,separated,0.85,speaker_B_dominant,806,134
controlled_route_sensitive_v2_candidate_0063,cleaned_win_anchor,cleaned,0.55,speaker_B_dominant,819,171
controlled_route_sensitive_v2_candidate_0064,review_needed_anchor,review_needed,0.9,balanced,832,208
controlled_route_sensitive_v2_candidate_0065,mixed_win_anchor,mixed,0.0,balanced,845,5
controlled_route_sensitive_v2_candidate_0066,separated_win_anchor,separated,0.55,balanced,858,42
controlled_route_sensitive_v2_candidate_0067,cleaned_win_anchor,cleaned,0.25,balanced,871,79
controlled_route_sensitive_v2_candidate_0068,review_needed_anchor,review_needed,0.3,balanced,884,116
controlled_route_sensitive_v2_candidate_0069,mixed_win_anchor,mixed,0.05,balanced,897,153
controlled_route_sensitive_v2_candidate_0070,separated_win_anchor,separated,0.65,balanced,910,190
controlled_route_sensitive_v2_candidate_0071,cleaned_win_anchor,cleaned,0.35,speaker_A_dominant,923,227
controlled_route_sensitive_v2_candidate_0072,review_needed_anchor,review_needed,0.5,speaker_A_dominant,936,24
controlled_route_sensitive_v2_candidate_0073,mixed_win_anchor,mixed,0.1,speaker_A_dominant,949,61
controlled_route_sensitive_v2_candidate_0074,separated_win_anchor,separated,0.75,speaker_A_dominant,962,98
controlled_route_sensitive_v2_candidate_0075,cleaned_win_anchor,cleaned,0.45,speaker_A_dominant,975,135
controlled_route_sensitive_v2_candidate_0076,review_needed_anchor,review_needed,0.7,speaker_A_dominant,988,172
controlled_route_sensitive_v2_candidate_0077,mixed_win_anchor,mixed,0.15,speaker_A_dominant,1001,209
controlled_route_sensitive_v2_candidate_0078,separated_win_anchor,separated,0.85,speaker_B_dominant,1014,6
controlled_route_sensitive_v2_candidate_0079,cleaned_win_anchor,cleaned,0.55,speaker_B_dominant,1027,43
controlled_route_sensitive_v2_candidate_0080,review_needed_anchor,review_needed,0.9,speaker_B_dominant,1040,80
controlled_route_sensitive_v2_candidate_0081,mixed_win_anchor,mixed,0.0,speaker_B_dominant,1053,117
controlled_route_sensitive_v2_candidate_0082,separated_win_anchor,separated,0.55,speaker_B_dominant,1066,154
controlled_route_sensitive_v2_candidate_0083,cleaned_win_anchor,cleaned,0.25,speaker_B_dominant,1079,191
controlled_route_sensitive_v2_candidate_0084,review_needed_anchor,review_needed,0.3,speaker_B_dominant,1092,228
controlled_route_sensitive_v2_candidate_0085,mixed_win_anchor,mixed,0.05,balanced,1105,25
controlled_route_sensitive_v2_candidate_0086,separated_win_anchor,separated,0.65,balanced,1118,62
controlled_route_sensitive_v2_candidate_0087,cleaned_win_anchor,cleaned,0.35,balanced,1131,99
controlled_route_sensitive_v2_candidate_0088,review_needed_anchor,review_needed,0.5,balanced,1144,136
controlled_route_sensitive_v2_candidate_0089,mixed_win_anchor,mixed,0.1,balanced,1157,173
controlled_route_sensitive_v2_candidate_0090,separated_win_anchor,separated,0.75,balanced,1170,210
controlled_route_sensitive_v2_candidate_0091,cleaned_win_anchor,cleaned,0.45,balanced,1183,7
controlled_route_sensitive_v2_candidate_0092,review_needed_anchor,review_needed,0.7,speaker_A_dominant,1196,44
controlled_route_sensitive_v2_candidate_0093,mixed_win_anchor,mixed,0.15,speaker_A_dominant,1209,81
controlled_route_sensitive_v2_candidate_0094,separated_win_anchor,separated,0.85,speaker_A_dominant,1222,118
controlled_route_sensitive_v2_candidate_0095,cleaned_win_anchor,cleaned,0.55,speaker_A_dominant,1235,155
controlled_route_sensitive_v2_candidate_0096,review_needed_anchor,review_needed,0.9,speaker_A_dominant,1248,192
controlled_route_sensitive_v2_candidate_0097,mixed_win_anchor,mixed,0.0,speaker_A_dominant,1261,229
controlled_route_sensitive_v2_candidate_0098,separated_win_anchor,separated,0.55,speaker_A_dominant,1274,26
controlled_route_sensitive_v2_candidate_0099,cleaned_win_anchor,cleaned,0.25,speaker_B_dominant,1287,63
controlled_route_sensitive_v2_candidate_0100,review_needed_anchor,review_needed,0.3,speaker_B_dominant,1300,100
controlled_route_sensitive_v2_candidate_0101,mixed_win_anchor,mixed,0.05,speaker_B_dominant,1313,137
controlled_route_sensitive_v2_candidate_0102,separated_win_anchor,separated,0.65,speaker_B_dominant,1326,174
controlled_route_sensitive_v2_candidate_0103,cleaned_win_anchor,cleaned,0.35,speaker_B_dominant,1339,211
controlled_route_sensitive_v2_candidate_0104,review_needed_anchor,review_needed,0.5,speaker_B_dominant,1352,8
controlled_route_sensitive_v2_candidate_0105,mixed_win_anchor,mixed,0.1,speaker_B_dominant,1365,45
controlled_route_sensitive_v2_candidate_0106,separated_win_anchor,separated,0.75,balanced,1378,82
controlled_route_sensitive_v2_candidate_0107,cleaned_win_anchor,cleaned,0.45,balanced,1391,119
controlled_route_sensitive_v2_candidate_0108,review_needed_anchor,review_needed,0.7,balanced,1404,156
controlled_route_sensitive_v2_candidate_0109,mixed_win_anchor,mixed,0.15,balanced,1417,193
controlled_route_sensitive_v2_candidate_0110,separated_win_anchor,separated,0.85,balanced,1430,230
controlled_route_sensitive_v2_candidate_0111,cleaned_win_anchor,cleaned,0.55,balanced,1443,27
controlled_route_sensitive_v2_candidate_0112,review_needed_anchor,review_needed,0.9,balanced,1456,64
controlled_route_sensitive_v2_candidate_0113,mixed_win_anchor,mixed,0.0,speaker_A_dominant,1469,101
controlled_route_sensitive_v2_candidate_0114,separated_win_anchor,separated,0.55,speaker_A_dominant,1482,138
controlled_route_sensitive_v2_candidate_0115,cleaned_win_anchor,cleaned,0.25,speaker_A_dominant,1495,175
controlled_route_sensitive_v2_candidate_0116,review_needed_anchor,review_needed,0.3,speaker_A_dominant,1508,212
controlled_route_sensitive_v2_candidate_0117,mixed_win_anchor,mixed,0.05,speaker_A_dominant,1521,9
controlled_route_sensitive_v2_candidate_0118,separated_win_anchor,separated,0.65,speaker_A_dominant,1534,46
controlled_route_sensitive_v2_candidate_0119,cleaned_win_anchor,cleaned,0.35,speaker_A_dominant,1547,83
controlled_route_sensitive_v2_candidate_0120,review_needed_anchor,review_needed,0.5,speaker_B_dominant,1560,120
controlled_route_sensitive_v2_candidate_0121,mixed_win_anchor,mixed,0.1,speaker_B_dominant,1573,157
controlled_route_sensitive_v2_candidate_0122,separated_win_anchor,separated,0.75,speaker_B_dominant,1586,194
controlled_route_sensitive_v2_candidate_0123,cleaned_win_anchor,cleaned,0.45,speaker_B_dominant,1599,231
controlled_route_sensitive_v2_candidate_0124,review_needed_anchor,review_needed,0.7,speaker_B_dominant,1612,28
controlled_route_sensitive_v2_candidate_0125,mixed_win_anchor,mixed,0.15,speaker_B_dominant,1625,65
controlled_route_sensitive_v2_candidate_0126,separated_win_anchor,separated,0.85,speaker_B_dominant,1638,102
controlled_route_sensitive_v2_candidate_0127,cleaned_win_anchor,cleaned,0.55,balanced,1651,139
controlled_route_sensitive_v2_candidate_0128,review_needed_anchor,review_needed,0.9,balanced,1664,176
controlled_route_sensitive_v2_candidate_0129,mixed_win_anchor,mixed,0.0,balanced,1677,213
controlled_route_sensitive_v2_candidate_0130,separated_win_anchor,separated,0.55,balanced,1690,10
controlled_route_sensitive_v2_candidate_0131,cleaned_win_anchor,cleaned,0.25,balanced,1703,47
controlled_route_sensitive_v2_candidate_0132,review_needed_anchor,review_needed,0.3,balanced,1716,84
controlled_route_sensitive_v2_candidate_0133,mixed_win_anchor,mixed,0.05,balanced,1729,121
controlled_route_sensitive_v2_candidate_0134,separated_win_anchor,separated,0.65,speaker_A_dominant,1742,158
controlled_route_sensitive_v2_candidate_0135,cleaned_win_anchor,cleaned,0.35,speaker_A_dominant,1755,195
controlled_route_sensitive_v2_candidate_0136,review_needed_anchor,review_needed,0.5,speaker_A_dominant,1768,232
controlled_route_sensitive_v2_candidate_0137,mixed_win_anchor,mixed,0.1,speaker_A_dominant,1781,29
controlled_route_sensitive_v2_candidate_0138,separated_win_anchor,separated,0.75,speaker_A_dominant,1794,66
controlled_route_sensitive_v2_candidate_0139,cleaned_win_anchor,cleaned,0.45,speaker_A_dominant,1807,103
controlled_route_sensitive_v2_candidate_0140,review_needed_anchor,review_needed,0.7,speaker_A_dominant,1820,140
controlled_route_sensitive_v2_candidate_0141,mixed_win_anchor,mixed,0.15,speaker_B_dominant,1833,177
controlled_route_sensitive_v2_candidate_0142,separated_win_anchor,separated,0.85,speaker_B_dominant,1846,214
controlled_route_sensitive_v2_candidate_0143,cleaned_win_anchor,cleaned,0.55,speaker_B_dominant,1859,11
controlled_route_sensitive_v2_candidate_0144,review_needed_anchor,review_needed,0.9,speaker_B_dominant,1872,48
controlled_route_sensitive_v2_candidate_0145,mixed_win_anchor,mixed,0.0,speaker_B_dominant,1885,85
controlled_route_sensitive_v2_candidate_0146,separated_win_anchor,separated,0.55,speaker_B_dominant,1898,122
controlled_route_sensitive_v2_candidate_0147,cleaned_win_anchor,cleaned,0.25,speaker_B_dominant,1911,159
controlled_route_sensitive_v2_candidate_0148,review_needed_anchor,review_needed,0.3,balanced,1924,196
controlled_route_sensitive_v2_candidate_0149,mixed_win_anchor,mixed,0.05,balanced,1937,233
controlled_route_sensitive_v2_candidate_0150,separated_win_anchor,separated,0.65,balanced,1950,30
controlled_route_sensitive_v2_candidate_0151,cleaned_win_anchor,cleaned,0.35,balanced,1963,67
controlled_route_sensitive_v2_candidate_0152,review_needed_anchor,review_needed,0.5,balanced,1976,104
controlled_route_sensitive_v2_candidate_0153,mixed_win_anchor,mixed,0.1,balanced,1989,141
controlled_route_sensitive_v2_candidate_0154,separated_win_anchor,separated,0.75,balanced,2002,178
controlled_route_sensitive_v2_candidate_0155,cleaned_win_anchor,cleaned,0.45,speaker_A_dominant,2015,215
controlled_route_sensitive_v2_candidate_0156,review_needed_anchor,review_needed,0.7,speaker_A_dominant,2028,12
controlled_route_sensitive_v2_candidate_0157,mixed_win_anchor,mixed,0.15,speaker_A_dominant,2041,49
controlled_route_sensitive_v2_candidate_0158,separated_win_anchor,separated,0.85,speaker_A_dominant,2054,86
controlled_route_sensitive_v2_candidate_0159,cleaned_win_anchor,cleaned,0.55,speaker_A_dominant,2067,123
controlled_route_sensitive_v2_candidate_0160,review_needed_anchor,review_needed,0.9,speaker_A_dominant,2080,160
controlled_route_sensitive_v2_candidate_0161,mixed_win_anchor,mixed,0.0,speaker_A_dominant,2093,197
controlled_route_sensitive_v2_candidate_0162,separated_win_anchor,separated,0.55,speaker_B_dominant,2106,234
controlled_route_sensitive_v2_candidate_0163,cleaned_win_anchor,cleaned,0.25,speaker_B_dominant,2119,31
controlled_route_sensitive_v2_candidate_0164,review_needed_anchor,review_needed,0.3,speaker_B_dominant,2132,68
controlled_route_sensitive_v2_candidate_0165,mixed_win_anchor,mixed,0.05,speaker_B_dominant,2145,105
controlled_route_sensitive_v2_candidate_0166,separated_win_anchor,separated,0.65,speaker_B_dominant,2158,142
controlled_route_sensitive_v2_candidate_0167,cleaned_win_anchor,cleaned,0.35,speaker_B_dominant,2171,179
controlled_route_sensitive_v2_candidate_0168,review_needed_anchor,review_needed,0.5,speaker_B_dominant,2184,216
controlled_route_sensitive_v2_candidate_0169,mixed_win_anchor,mixed,0.1,balanced,2197,13
controlled_route_sensitive_v2_candidate_0170,separated_win_anchor,separated,0.75,balanced,2210,50
controlled_route_sensitive_v2_candidate_0171,cleaned_win_anchor,cleaned,0.45,balanced,2223,87
controlled_route_sensitive_v2_candidate_0172,review_needed_anchor,review_needed,0.7,balanced,2236,124
controlled_route_sensitive_v2_candidate_0173,mixed_win_anchor,mixed,0.15,balanced,2249,161
controlled_route_sensitive_v2_candidate_0174,separated_win_anchor,separated,0.85,balanced,2262,198
controlled_route_sensitive_v2_candidate_0175,cleaned_win_anchor,cleaned,0.55,balanced,2275,235
controlled_route_sensitive_v2_candidate_0176,review_needed_anchor,review_needed,0.9,speaker_A_dominant,2288,32
controlled_route_sensitive_v2_candidate_0177,mixed_win_anchor,mixed,0.0,speaker_A_dominant,2301,69
controlled_route_sensitive_v2_candidate_0178,separated_win_anchor,separated,0.55,speaker_A_dominant,2314,106
controlled_route_sensitive_v2_candidate_0179,cleaned_win_anchor,cleaned,0.25,speaker_A_dominant,2327,143
controlled_route_sensitive_v2_candidate_0180,review_needed_anchor,review_needed,0.3,speaker_A_dominant,2340,180
controlled_route_sensitive_v2_candidate_0181,mixed_win_anchor,mixed,0.05,speaker_A_dominant,2353,217
controlled_route_sensitive_v2_candidate_0182,separated_win_anchor,separated,0.65,speaker_A_dominant,2366,14
controlled_route_sensitive_v2_candidate_0183,cleaned_win_anchor,cleaned,0.35,speaker_B_dominant,2379,51
controlled_route_sensitive_v2_candidate_0184,review_needed_anchor,review_needed,0.5,speaker_B_dominant,2392,88
controlled_route_sensitive_v2_candidate_0185,mixed_win_anchor,mixed,0.1,speaker_B_dominant,2405,125
controlled_route_sensitive_v2_candidate_0186,separated_win_anchor,separated,0.75,speaker_B_dominant,2418,162
controlled_route_sensitive_v2_candidate_0187,cleaned_win_anchor,cleaned,0.45,speaker_B_dominant,2431,199
controlled_route_sensitive_v2_candidate_0188,review_needed_anchor,review_needed,0.7,speaker_B_dominant,2444,236
controlled_route_sensitive_v2_candidate_0189,mixed_win_anchor,mixed,0.15,speaker_B_dominant,2457,33
controlled_route_sensitive_v2_candidate_0190,separated_win_anchor,separated,0.85,balanced,2470,70
controlled_route_sensitive_v2_candidate_0191,cleaned_win_anchor,cleaned,0.55,balanced,2483,107
controlled_route_sensitive_v2_candidate_0192,review_needed_anchor,review_needed,0.9,balanced,2496,144
controlled_route_sensitive_v2_candidate_0193,mixed_win_anchor,mixed,0.0,balanced,2509,181
controlled_route_sensitive_v2_candidate_0194,separated_win_anchor,separated,0.55,balanced,2522,218
controlled_route_sensitive_v2_candidate_0195,cleaned_win_anchor,cleaned,0.25,balanced,2535,15
controlled_route_sensitive_v2_candidate_0196,review_needed_anchor,review_needed,0.3,balanced,2548,52
controlled_route_sensitive_v2_candidate_0197,mixed_win_anchor,mixed,0.05,speaker_A_dominant,2561,89
controlled_route_sensitive_v2_candidate_0198,separated_win_anchor,separated,0.65,speaker_A_dominant,2574,126
controlled_route_sensitive_v2_candidate_0199,cleaned_win_anchor,cleaned,0.35,speaker_A_dominant,2587,163
controlled_route_sensitive_v2_candidate_0200,review_needed_anchor,review_needed,0.5,speaker_A_dominant,2600,200
controlled_route_sensitive_v2_candidate_0201,mixed_win_anchor,mixed,0.1,speaker_A_dominant,2613,237
controlled_route_sensitive_v2_candidate_0202,separated_win_anchor,separated,0.75,speaker_A_dominant,2626,34
controlled_route_sensitive_v2_candidate_0203,cleaned_win_anchor,cleaned,0.45,speaker_A_dominant,2639,71
controlled_route_sensitive_v2_candidate_0204,review_needed_anchor,review_needed,0.7,speaker_B_dominant,2652,108
controlled_route_sensitive_v2_candidate_0205,mixed_win_anchor,mixed,0.15,speaker_B_dominant,2665,145
controlled_route_sensitive_v2_candidate_0206,separated_win_anchor,separated,0.85,speaker_B_dominant,2678,182
controlled_route_sensitive_v2_candidate_0207,cleaned_win_anchor,cleaned,0.55,speaker_B_dominant,2691,219
controlled_route_sensitive_v2_candidate_0208,review_needed_anchor,review_needed,0.9,speaker_B_dominant,2704,16
controlled_route_sensitive_v2_candidate_0209,mixed_win_anchor,mixed,0.0,speaker_B_dominant,2717,53
controlled_route_sensitive_v2_candidate_0210,separated_win_anchor,separated,0.55,speaker_B_dominant,2730,90
controlled_route_sensitive_v2_candidate_0211,cleaned_win_anchor,cleaned,0.25,balanced,2743,127
controlled_route_sensitive_v2_candidate_0212,review_needed_anchor,review_needed,0.3,balanced,2756,164
controlled_route_sensitive_v2_candidate_0213,mixed_win_anchor,mixed,0.05,balanced,2769,201
controlled_route_sensitive_v2_candidate_0214,separated_win_anchor,separated,0.65,balanced,2782,238
controlled_route_sensitive_v2_candidate_0215,cleaned_win_anchor,cleaned,0.35,balanced,2795,35
controlled_route_sensitive_v2_candidate_0216,review_needed_anchor,review_needed,0.5,balanced,2808,72
controlled_route_sensitive_v2_candidate_0217,mixed_win_anchor,mixed,0.1,balanced,2821,109
controlled_route_sensitive_v2_candidate_0218,separated_win_anchor,separated,0.75,speaker_A_dominant,2834,146
controlled_route_sensitive_v2_candidate_0219,cleaned_win_anchor,cleaned,0.45,speaker_A_dominant,2847,183
controlled_route_sensitive_v2_candidate_0220,review_needed_anchor,review_needed,0.7,speaker_A_dominant,2860,220
controlled_route_sensitive_v2_candidate_0221,mixed_win_anchor,mixed,0.15,speaker_A_dominant,2873,17
controlled_route_sensitive_v2_candidate_0222,separated_win_anchor,separated,0.85,speaker_A_dominant,2886,54
controlled_route_sensitive_v2_candidate_0223,cleaned_win_anchor,cleaned,0.55,speaker_A_dominant,2899,91
controlled_route_sensitive_v2_candidate_0224,review_needed_anchor,review_needed,0.9,speaker_A_dominant,2912,128
controlled_route_sensitive_v2_candidate_0225,mixed_win_anchor,mixed,0.0,speaker_B_dominant,2925,165
controlled_route_sensitive_v2_candidate_0226,separated_win_anchor,separated,0.55,speaker_B_dominant,2938,202
controlled_route_sensitive_v2_candidate_0227,cleaned_win_anchor,cleaned,0.25,speaker_B_dominant,2951,239
controlled_route_sensitive_v2_candidate_0228,review_needed_anchor,review_needed,0.3,speaker_B_dominant,2964,36
controlled_route_sensitive_v2_candidate_0229,mixed_win_anchor,mixed,0.05,speaker_B_dominant,2977,73
controlled_route_sensitive_v2_candidate_0230,separated_win_anchor,separated,0.65,speaker_B_dominant,2990,110
controlled_route_sensitive_v2_candidate_0231,cleaned_win_anchor,cleaned,0.35,speaker_B_dominant,3003,147
controlled_route_sensitive_v2_candidate_0232,review_needed_anchor,review_needed,0.5,balanced,3016,184
controlled_route_sensitive_v2_candidate_0233,mixed_win_anchor,mixed,0.1,balanced,3029,221
controlled_route_sensitive_v2_candidate_0234,separated_win_anchor,separated,0.75,balanced,3042,18
controlled_route_sensitive_v2_candidate_0235,cleaned_win_anchor,cleaned,0.45,balanced,3055,55
controlled_route_sensitive_v2_candidate_0236,review_needed_anchor,review_needed,0.7,balanced,3068,92
controlled_route_sensitive_v2_candidate_0237,mixed_win_anchor,mixed,0.15,balanced,3081,129
controlled_route_sensitive_v2_candidate_0238,separated_win_anchor,separated,0.85,balanced,3094,166
controlled_route_sensitive_v2_candidate_0239,cleaned_win_anchor,cleaned,0.55,speaker_A_dominant,3107,203
controlled_route_sensitive_v2_candidate_0240,review_needed_anchor,review_needed,0.9,speaker_A_dominant,3120,0
