model_name,task,sample_id,oracle_route,target_label,e00,e01,e02,e03,e04,e05,e06,e07,e08,e09,e10,e11,e12,e13,e14,e15
cnn,oracle_route,controlled_route_sensitive_v1_0026,separated,separated,1.139537,1.344687,0.0,0.0,0.0,0.0,1.109031,1.118961,0.0,0.0,1.098162,1.179562,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v1_0027,separated,separated,0.830548,0.95819,0.0,0.0,0.0,0.0,0.723655,0.723558,0.0,0.0,0.684011,0.701948,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v1_0031,separated,separated,0.010722,0.0,0.0,0.0,0.0,0.0,0.0,0.033113,0.0,0.0,0.009352,0.102689,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v1_0038,separated,separated,1.386136,1.562845,0.0,0.0,0.0,0.0,1.252813,1.382427,0.0,0.0,1.361105,1.430061,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v2_0010,separated,separated,1.822939,1.907272,0.0,0.0,0.0,0.0,1.759619,1.849171,0.0,0.0,1.735051,1.93246,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v2_0014,separated,separated,2.426695,2.469646,0.0,0.0,0.0,0.0,2.336288,2.509118,0.0,0.0,2.2192,2.52581,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v2_0016,mixed,mixed,1.028648,1.271586,0.0,0.0,0.0,0.0,0.997613,1.199769,0.0,0.0,1.065727,1.193183,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v2_0022,separated,separated,1.146744,1.180381,0.0,0.0,0.0,0.0,1.015171,1.04298,0.0,0.0,1.149732,1.121604,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v2_0025,mixed,mixed,1.369619,1.585212,0.0,0.0,0.0,0.0,1.267147,1.390154,0.0,0.0,1.25684,1.421305,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v2_0029,mixed,mixed,1.130259,1.256811,0.0,0.0,0.0,0.0,1.034253,1.153998,0.0,0.0,1.186911,1.264032,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v2_0031,separated,separated,0.857759,0.725932,0.0,0.0,0.0,0.0,0.621316,0.725197,0.0,0.0,0.633945,0.89877,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v2_0032,mixed,mixed,1.560529,1.703438,0.0,0.0,0.0,0.0,1.489442,1.604879,0.0,0.0,1.42609,1.615276,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v2_0034,separated,separated,1.259088,1.397464,0.0,0.0,0.0,0.0,1.232611,1.313532,0.0,0.0,1.278992,1.387999,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v2_0036,mixed,mixed,0.981461,1.346529,0.0,0.0,0.0,0.0,0.884848,1.080075,0.0,0.0,0.979572,1.027744,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v2_0037,mixed,mixed,0.628184,0.790023,0.0,0.0,0.0,0.0,0.644995,0.714902,0.0,0.0,0.586742,0.573011,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v2_0043,separated,separated,1.881995,2.007849,0.0,0.0,0.0,0.0,1.808838,1.980629,0.0,0.0,1.896421,2.042678,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v2_0046,separated,separated,1.079708,1.202228,0.0,0.0,0.0,0.0,1.127004,1.158399,0.0,0.0,1.139326,1.236183,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v2_0058,separated,separated,1.704622,1.70861,0.0,0.0,0.0,0.0,1.592772,1.654631,0.0,0.0,1.620204,1.76135,0.0,0.0,0.0,0.0
cnn,oracle_route,controlled_route_sensitive_v2_0060,mixed,mixed,0.906559,1.169828,0.0,0.0,0.0,0.0,0.868542,1.037676,0.0,0.0,0.930732,1.005412,0.0,0.0,0.0,0.0
cnn,target_family,controlled_route_sensitive_v1_0004,separated,clean_turn_taking,0.0,5.070248,0.346152,3.159723,0.0,2.690203,0.0,0.0,0.593891,1.987257,8.530352,4.820595,0.0,0.144043,3.553688,0.0
cnn,target_family,controlled_route_sensitive_v1_0005,separated,clean_turn_taking,0.0,6.325399,1.787126,2.228679,0.0,1.950494,0.0,0.0,4.244598,4.307804,6.57295,2.96558,0.0,1.877417,3.076725,0.0
cnn,target_family,controlled_route_sensitive_v1_0006,separated,clean_turn_taking,0.0,5.882658,2.588449,1.843985,0.0,1.447166,0.0,0.0,4.857193,4.461145,5.327658,2.158058,0.0,2.365807,3.244172,0.0
cnn,target_family,controlled_route_sensitive_v1_0009,separated,clean_turn_taking,0.0,6.044322,0.045139,4.913903,0.0,3.266326,0.0,0.0,1.568313,0.556477,7.723452,3.385283,0.0,0.346898,1.868064,0.0
cnn,target_family,controlled_route_sensitive_v1_0014,separated,clean_turn_taking,0.0,5.025894,3.558996,3.83626,0.0,3.506213,0.0,0.0,5.901057,4.394702,3.838625,0.179252,0.0,3.390926,0.0,0.0
cnn,target_family,controlled_route_sensitive_v1_0015,mixed,clean_turn_taking,0.0,6.08805,2.250559,1.631111,0.0,0.758059,0.0,0.0,4.774121,4.258651,4.583532,1.834511,0.0,2.434773,2.748517,0.0
cnn,target_family,controlled_route_sensitive_v1_0016,mixed,clean_turn_taking,0.0,6.535905,2.597669,5.115359,0.0,3.78174,0.0,0.0,5.512155,3.148621,5.286775,1.917434,0.0,1.607524,0.0,0.0
cnn,target_family,controlled_route_sensitive_v1_0018,separated,clean_turn_taking,0.0,5.462864,1.07972,2.478374,0.0,1.807195,0.0,0.0,1.896775,3.123145,7.045821,4.113793,0.0,0.577456,3.371467,0.0
cnn,target_family,controlled_route_sensitive_v1_0019,separated,clean_turn_taking,0.0,5.151858,2.43393,1.886067,0.0,2.267079,0.0,0.0,3.691871,4.733548,6.645713,2.877144,0.0,2.322492,3.320265,0.0
cnn,target_family,controlled_route_sensitive_v1_0021,separated,clean_turn_taking,0.0,4.95948,2.636866,4.664824,0.0,4.010264,0.0,0.0,4.201864,3.417382,5.693686,1.890137,0.0,2.172897,0.0,0.0
cnn,target_family,controlled_route_sensitive_v1_0026,separated,clean_turn_taking,0.0,6.128044,3.207637,1.886369,0.0,1.424496,0.0,0.0,5.259805,5.042778,5.075116,1.731627,0.0,3.018042,2.319004,0.0
cnn,target_family,controlled_route_sensitive_v1_0027,separated,clean_turn_taking,0.0,6.828488,3.204055,5.530252,0.0,3.34578,0.0,0.0,6.292861,3.207893,3.81114,0.816532,0.0,2.311984,0.0,0.0
cnn,target_family,controlled_route_sensitive_v1_0031,separated,short_backchannel,0.0,6.230382,0.577812,5.678502,0.0,3.696615,0.0,0.0,2.308942,0.439838,6.893451,2.663179,0.0,0.768882,0.92235,0.0
cnn,target_family,controlled_route_sensitive_v1_0038,separated,short_backchannel,0.0,4.42039,4.409469,2.132319,0.0,3.187553,0.0,0.0,5.491529,6.938122,4.887754,1.411003,0.0,3.671809,0.0,0.0
cnn,target_family,controlled_route_sensitive_v2_0010,separated,separated_win_anchor,0.781114,0.0,9.425885,0.0,0.0,0.0,0.0,0.0,0.0,17.437101,3.40466,8.521877,0.0,1.914343,10.992616,0.0
cnn,target_family,controlled_route_sensitive_v2_0014,separated,separated_win_anchor,0.0,0.0,7.138317,0.0,0.0,0.200663,0.0,0.0,0.0,14.257547,5.679399,9.994914,0.0,0.0,9.060937,0.0
cnn,target_family,controlled_route_sensitive_v2_0016,mixed,review_needed_anchor,6.628642,0.0,9.395223,0.0,0.0,0.0,0.0,0.0,0.0,16.710457,0.431314,8.123654,0.0,1.51663,14.747679,0.0
cnn,target_family,controlled_route_sensitive_v2_0022,separated,separated_win_anchor,1.275419,0.0,9.451491,0.0,0.0,0.0,0.0,0.0,0.0,17.156553,3.483611,6.820731,0.0,3.421931,11.688348,0.0
cnn,target_family,controlled_route_sensitive_v2_0025,mixed,mixed_win_anchor,0.0,6.189702,3.256479,4.929546,0.0,3.897761,0.0,0.0,5.879489,4.073134,4.854726,0.964685,0.0,2.835866,0.0,0.0
cnn,target_family,controlled_route_sensitive_v2_0029,mixed,mixed_win_anchor,0.0,4.576398,3.025748,0.971357,0.0,2.216455,0.0,0.0,4.325157,6.232328,6.963586,2.422267,0.0,3.383819,4.107481,0.0
cnn,target_family,controlled_route_sensitive_v2_0031,separated,cleaned_win_anchor,0.0,3.098536,4.0995,6.133614,0.0,7.81281,0.0,0.0,1.364202,7.7936,11.568041,6.30263,0.0,1.544668,0.0,0.0
cnn,target_family,controlled_route_sensitive_v2_0032,mixed,review_needed_anchor,4.663498,0.0,9.698827,0.0,0.0,0.0,0.0,0.0,0.0,17.010208,1.325274,8.365971,0.0,1.45054,12.351426,0.0
cnn,target_family,controlled_route_sensitive_v2_0034,separated,separated_win_anchor,3.25949,0.0,9.754815,0.0,0.0,0.0,0.0,0.0,0.0,18.091661,2.673426,8.197102,0.0,2.440277,13.49052,0.0
cnn,target_family,controlled_route_sensitive_v2_0036,mixed,review_needed_anchor,7.452246,0.0,9.798227,0.0,0.0,0.0,0.0,0.0,0.0,16.223206,0.0,6.687541,0.0,2.170898,13.282798,0.0
cnn,target_family,controlled_route_sensitive_v2_0037,mixed,mixed_win_anchor,0.0,6.328559,2.311671,3.788594,0.0,2.291255,0.0,0.0,4.817702,2.310752,4.503212,1.022005,0.0,2.316182,0.829874,0.0
cnn,target_family,controlled_route_sensitive_v2_0043,separated,cleaned_win_anchor,0.0,0.0,5.72966,0.0,0.0,1.830028,0.0,0.0,0.0,12.136045,7.835193,5.788391,0.0,3.348471,9.594296,0.0
cnn,target_family,controlled_route_sensitive_v2_0046,separated,separated_win_anchor,2.390697,0.0,8.577127,0.0,0.0,0.0,0.0,0.0,0.0,17.428896,5.30506,9.704994,0.0,1.690139,15.960635,0.0
cnn,target_family,controlled_route_sensitive_v2_0058,separated,separated_win_anchor,0.0,0.0,9.063736,0.0,0.0,0.0,0.0,0.0,0.0,18.026545,6.010419,9.912669,0.0,1.831496,13.106406,0.0
cnn,target_family,controlled_route_sensitive_v2_0060,mixed,review_needed_anchor,5.952124,0.0,9.929219,0.0,0.0,0.0,0.0,0.0,0.0,16.80068,0.374822,7.482543,0.0,2.029931,13.173275,0.0
cnn,route_gap_bucket,controlled_route_sensitive_v1_0004,separated,tiny_gap,0.075263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnn,route_gap_bucket,controlled_route_sensitive_v1_0005,separated,tiny_gap,1.368771,0.0,0.0,0.0,0.0,0.0,0.0,1.022388,0.0,0.259071,0.0,0.0,1.443948,0.0,0.0,1.500181
cnn,route_gap_bucket,controlled_route_sensitive_v1_0006,separated,tiny_gap,1.235219,0.0,0.0,0.0,0.0,0.0,0.0,0.943868,0.0,0.094195,0.0,0.0,1.202658,0.0,0.0,1.297308
cnn,route_gap_bucket,controlled_route_sensitive_v1_0009,separated,tiny_gap,0.19512,0.0,0.0,0.0,0.0,0.0,0.0,0.173789,0.0,0.0,0.0,0.0,0.23499,0.0,0.0,0.0
cnn,route_gap_bucket,controlled_route_sensitive_v1_0014,separated,tiny_gap,0.197875,0.0,0.0,0.0,0.0,0.0,0.0,0.348166,0.0,0.0,0.0,0.0,0.326356,0.0,0.0,0.406016
cnn,route_gap_bucket,controlled_route_sensitive_v1_0015,mixed,medium_gap,0.855528,0.0,0.0,0.0,0.0,0.0,0.0,0.782771,0.0,0.0,0.0,0.0,0.947628,0.0,0.0,0.934924
cnn,route_gap_bucket,controlled_route_sensitive_v1_0016,mixed,medium_gap,0.850646,0.0,0.0,0.0,0.0,0.0,0.0,0.605092,0.0,0.0,0.0,0.0,0.859865,0.0,0.0,0.9923
cnn,route_gap_bucket,controlled_route_sensitive_v1_0018,separated,tiny_gap,0.608716,0.0,0.0,0.0,0.0,0.0,0.0,0.237133,0.0,0.0,0.0,0.0,0.592286,0.0,0.0,0.69009
cnn,route_gap_bucket,controlled_route_sensitive_v1_0019,separated,tiny_gap,0.858004,0.0,0.0,0.0,0.0,0.0,0.0,0.797391,0.0,0.0,0.0,0.0,0.882527,0.0,0.0,0.844837
cnn,route_gap_bucket,controlled_route_sensitive_v1_0021,separated,tiny_gap,0.337831,0.0,0.0,0.0,0.0,0.0,0.0,0.453372,0.0,0.0,0.0,0.0,0.353322,0.0,0.0,0.237703
cnn,route_gap_bucket,controlled_route_sensitive_v1_0026,separated,tiny_gap,1.09773,0.0,0.0,0.0,0.0,0.0,0.0,0.919577,0.0,0.0,0.0,0.0,1.172593,0.0,0.0,1.331744
cnn,route_gap_bucket,controlled_route_sensitive_v1_0027,separated,tiny_gap,1.053896,0.0,0.0,0.0,0.0,0.0,0.0,0.880918,0.0,0.0,0.0,0.0,1.104274,0.0,0.0,1.05618
cnn,route_gap_bucket,controlled_route_sensitive_v1_0031,separated,tiny_gap,0.172391,0.0,0.0,0.0,0.0,0.0,0.0,0.251453,0.0,0.0,0.0,0.0,0.141551,0.0,0.0,0.0
cnn,route_gap_bucket,controlled_route_sensitive_v1_0038,separated,tiny_gap,1.348373,0.0,0.0,0.0,0.0,0.0,0.0,1.268751,0.0,0.696895,0.0,0.0,1.465478,0.0,0.0,1.466044
cnn,route_gap_bucket,controlled_route_sensitive_v2_0010,separated,tiny_gap,3.906957,0.0,0.0,0.0,0.0,0.0,0.0,2.831336,0.0,2.230869,0.0,0.0,3.648902,0.0,0.0,3.009527
cnn,route_gap_bucket,controlled_route_sensitive_v2_0014,separated,tiny_gap,3.567619,0.0,0.0,0.0,0.0,0.0,0.0,2.204247,0.0,1.963937,0.0,0.0,3.236323,0.0,0.0,2.86789
cnn,route_gap_bucket,controlled_route_sensitive_v2_0016,mixed,tiny_gap,3.733222,0.0,0.0,0.0,0.0,0.0,0.0,2.581106,0.0,2.180691,0.0,0.0,3.576587,0.0,0.0,2.924681
cnn,route_gap_bucket,controlled_route_sensitive_v2_0022,separated,tiny_gap,2.872563,0.0,0.0,0.0,0.0,0.0,0.0,2.271552,0.0,1.230139,0.0,0.0,2.785013,0.0,0.0,2.030085
cnn,route_gap_bucket,controlled_route_sensitive_v2_0025,mixed,large_gap,0.959414,0.0,0.0,0.0,0.0,0.0,0.0,1.024049,0.0,0.0,0.0,0.0,0.991609,0.0,0.0,0.81527
cnn,route_gap_bucket,controlled_route_sensitive_v2_0029,mixed,large_gap,1.106702,0.0,0.0,0.0,0.0,0.0,0.0,1.281576,0.0,0.069971,0.0,0.0,1.165449,0.0,0.0,0.958764
cnn,route_gap_bucket,controlled_route_sensitive_v2_0031,separated,tiny_gap,1.953161,0.0,0.0,0.0,0.0,0.0,0.0,1.56464,0.0,0.504883,0.0,0.0,1.684759,0.0,0.0,1.182509
cnn,route_gap_bucket,controlled_route_sensitive_v2_0032,mixed,tiny_gap,3.82894,0.0,0.0,0.0,0.0,0.0,0.0,2.556954,0.0,2.207236,0.0,0.0,3.540271,0.0,0.0,2.885856
cnn,route_gap_bucket,controlled_route_sensitive_v2_0034,separated,tiny_gap,3.719348,0.0,0.0,0.0,0.0,0.0,0.0,2.733772,0.0,2.120287,0.0,0.0,3.572875,0.0,0.0,2.92612
cnn,route_gap_bucket,controlled_route_sensitive_v2_0036,mixed,tiny_gap,3.669355,0.0,0.0,0.0,0.0,0.0,0.0,2.747971,0.0,1.982656,0.0,0.0,3.517327,0.0,0.0,2.725453
cnn,route_gap_bucket,controlled_route_sensitive_v2_0037,mixed,large_gap,0.06908,0.0,0.0,0.0,0.0,0.0,0.0,0.236842,0.0,0.0,0.0,0.0,0.143111,0.0,0.0,0.009262
cnn,route_gap_bucket,controlled_route_sensitive_v2_0043,separated,tiny_gap,1.298021,0.0,0.0,0.0,0.0,0.0,0.0,1.146268,0.0,0.417984,0.0,0.0,1.349154,0.0,0.0,1.070621
cnn,route_gap_bucket,controlled_route_sensitive_v2_0046,separated,tiny_gap,2.918173,0.0,0.0,0.0,0.0,0.0,0.0,1.995173,0.0,1.291051,0.0,0.0,2.809006,0.0,0.0,2.200524
cnn,route_gap_bucket,controlled_route_sensitive_v2_0058,separated,tiny_gap,3.365957,0.0,0.0,0.0,0.0,0.0,0.0,2.307258,0.0,1.658947,0.0,0.0,3.142329,0.0,0.0,2.510189
cnn,route_gap_bucket,controlled_route_sensitive_v2_0060,mixed,tiny_gap,3.535705,0.0,0.0,0.0,0.0,0.0,0.0,2.437413,0.0,1.903854,0.0,0.0,3.310702,0.0,0.0,2.609903
cnn,separation_helpful,controlled_route_sensitive_v1_0004,separated,separation_helpful,0.583055,0.0,0.239707,0.0,1.03999,1.19435,0.0,1.691392,0.081534,1.083181,0.0,0.0,1.149557,0.129302,0.0,0.08238
cnn,separation_helpful,controlled_route_sensitive_v1_0005,separated,separation_helpful,1.543374,0.0,0.999461,0.0,0.407381,0.573731,0.0,0.088487,0.812634,0.497112,0.0,0.0,0.421362,0.981104,0.734467,0.565386
cnn,separation_helpful,controlled_route_sensitive_v1_0006,separated,separation_helpful,1.001731,0.0,1.110164,0.0,0.43731,0.432635,0.0,0.921157,0.798359,0.474402,0.0,0.0,0.5168,1.007442,0.766151,0.749519
cnn,separation_helpful,controlled_route_sensitive_v1_0009,separated,separation_helpful,0.214374,0.0,0.0,0.0,1.637977,1.633961,0.0,1.246341,0.0,1.457917,0.0,0.0,1.669895,0.0,0.0,0.0
cnn,separation_helpful,controlled_route_sensitive_v1_0014,separated,separation_helpful,1.188353,0.0,1.365994,0.0,0.0,0.0,0.0,0.0,1.279573,0.0,0.0,0.0,0.0,1.402024,1.453202,0.984055
cnn,separation_helpful,controlled_route_sensitive_v1_0015,mixed,not_separation_helpful,0.624261,0.0,0.570578,0.0,0.621417,0.625255,0.0,0.554596,0.595984,0.628461,0.0,0.0,0.627538,0.519081,0.465083,0.31893
cnn,separation_helpful,controlled_route_sensitive_v1_0016,mixed,not_separation_helpful,0.64921,0.0,0.274134,0.0,1.050617,1.051925,0.0,0.776602,0.303975,1.105421,0.0,0.0,0.986623,0.337472,0.338204,0.285965
cnn,separation_helpful,controlled_route_sensitive_v1_0018,separated,separation_helpful,1.277607,0.0,1.207915,0.0,0.0,0.0,0.0,0.0,1.173601,0.0,0.0,0.0,0.0,1.30266,1.019976,1.028396
cnn,separation_helpful,controlled_route_sensitive_v1_0019,separated,separation_helpful,1.301471,0.0,1.112692,0.0,0.297963,0.384742,0.0,0.241043,1.034612,0.260591,0.0,0.0,0.310446,1.136223,0.961377,0.983374
cnn,separation_helpful,controlled_route_sensitive_v1_0021,separated,separation_helpful,1.500272,0.0,1.195627,0.0,0.0,0.0,0.0,0.0,1.1545,0.031312,0.0,0.0,0.012508,1.242366,1.143923,1.075121
cnn,separation_helpful,controlled_route_sensitive_v1_0026,separated,separation_helpful,0.628602,0.0,0.414654,0.0,0.931768,0.795586,0.0,0.737986,0.548226,0.898125,0.0,0.0,0.969729,0.598998,0.421408,0.38462
cnn,separation_helpful,controlled_route_sensitive_v1_0027,separated,separation_helpful,0.897746,0.0,0.588986,0.0,0.889584,0.772807,0.0,0.087346,0.574977,0.816724,0.0,0.0,0.741837,0.576975,0.543375,0.375865
cnn,separation_helpful,controlled_route_sensitive_v1_0031,separated,separation_helpful,0.423297,0.0,0.0,0.0,1.521308,1.46169,0.0,1.052631,0.029277,1.314253,0.0,0.0,1.498874,0.0,0.0,0.0
cnn,separation_helpful,controlled_route_sensitive_v1_0038,separated,separation_helpful,1.438138,0.0,0.808677,0.0,0.548967,0.643115,0.0,0.0,0.788545,0.670384,0.0,0.0,0.500384,0.783995,0.811778,0.567476
cnn,separation_helpful,controlled_route_sensitive_v2_0010,separated,separation_helpful,1.612156,0.0,0.994227,0.0,0.302256,0.300006,0.0,0.0,1.196756,0.402956,0.0,0.0,0.110646,1.144432,0.91801,1.036942
cnn,separation_helpful,controlled_route_sensitive_v2_0014,separated,separation_helpful,2.574904,0.0,1.789105,0.0,0.0,0.0,0.0,0.0,1.862896,0.0,0.0,0.0,0.0,2.101504,1.610974,1.806144
cnn,separation_helpful,controlled_route_sensitive_v2_0016,mixed,not_separation_helpful,0.268983,0.0,0.408323,0.0,1.087185,1.026288,0.0,0.0,0.414023,1.093271,0.0,0.0,0.627655,0.340882,0.160288,0.04797
cnn,separation_helpful,controlled_route_sensitive_v2_0022,separated,separation_helpful,0.696346,0.0,0.005416,0.0,1.080516,1.061551,0.0,0.617367,0.18514,1.086386,0.0,0.0,0.936875,0.198126,0.139877,0.140517
cnn,separation_helpful,controlled_route_sensitive_v2_0025,mixed,not_separation_helpful,1.364545,0.0,0.981797,0.0,0.342443,0.190218,0.0,0.0,1.107157,0.291138,0.0,0.0,0.295325,1.085608,1.100655,0.963555
cnn,separation_helpful,controlled_route_sensitive_v2_0029,mixed,not_separation_helpful,1.809483,0.0,1.339627,0.0,0.084457,0.125113,0.0,0.0,1.214896,0.030591,0.0,0.0,0.150349,1.329264,1.204831,1.078088
cnn,separation_helpful,controlled_route_sensitive_v2_0031,separated,separation_helpful,2.37412,0.0,0.667647,0.0,2.102776,2.254587,0.0,3.203272,0.411345,1.857105,0.0,0.0,2.288515,0.479181,0.081906,0.220284
cnn,separation_helpful,controlled_route_sensitive_v2_0032,mixed,not_separation_helpful,0.530485,0.0,0.831775,0.0,0.830085,0.786517,0.0,0.0,0.779685,0.793907,0.0,0.0,0.473072,0.713037,0.553828,0.593784
cnn,separation_helpful,controlled_route_sensitive_v2_0034,separated,separation_helpful,0.583232,0.0,0.274439,0.0,0.938888,0.920812,0.0,0.44332,0.415063,1.018742,0.0,0.0,0.689543,0.450076,0.263905,0.238456
cnn,separation_helpful,controlled_route_sensitive_v2_0036,mixed,not_separation_helpful,0.0,0.0,0.279645,0.0,1.518213,1.340998,0.0,0.0,0.111001,1.336585,0.0,0.0,0.998633,0.084938,0.042812,0.0
cnn,separation_helpful,controlled_route_sensitive_v2_0037,mixed,not_separation_helpful,0.345648,0.0,0.0,0.0,1.30417,1.298944,0.0,0.59736,0.0,1.362982,0.0,0.0,1.274473,0.0,0.004271,0.0
cnn,separation_helpful,controlled_route_sensitive_v2_0043,separated,separation_helpful,1.912336,0.0,1.51547,0.0,0.148222,0.302674,0.0,1.29314,1.183361,0.267573,0.0,0.0,0.382253,1.532151,1.328229,1.213092
cnn,separation_helpful,controlled_route_sensitive_v2_0046,separated,separation_helpful,0.49245,0.0,0.057046,0.0,0.952417,1.13375,0.0,2.085567,0.218266,1.238972,0.0,0.0,0.94877,0.423951,0.063045,0.244434
cnn,separation_helpful,controlled_route_sensitive_v2_0058,separated,separation_helpful,1.382705,0.0,0.560333,0.0,0.454889,0.641504,0.0,1.246296,0.765262,0.696015,0.0,0.0,0.447374,0.937654,0.606421,0.754814
cnn,separation_helpful,controlled_route_sensitive_v2_0060,mixed,not_separation_helpful,0.0,0.0,0.0,0.0,1.869526,1.747268,0.0,0.0,0.0,1.735302,0.0,0.0,1.38796,0.0,0.0,0.0
resnet,oracle_route,controlled_route_sensitive_v1_0004,separated,separated,0.0,0.0,0.979634,0.0,0.0,0.0,0.0,0.373008,0.282059,0.0,0.0,0.225346,0.0,0.0,0.0,0.723935
resnet,oracle_route,controlled_route_sensitive_v1_0005,separated,separated,0.0,0.0,1.516461,0.0,0.0,0.0,0.0,0.967746,0.79885,0.0,0.0,0.917442,0.0,0.0,0.0,0.2604
resnet,oracle_route,controlled_route_sensitive_v1_0006,separated,separated,0.0,0.0,1.762762,0.0,0.0,0.0,0.0,1.147867,0.893768,0.0,0.0,1.218486,0.0,0.0,0.0,0.122646
resnet,oracle_route,controlled_route_sensitive_v1_0009,separated,separated,0.803659,0.0,0.289606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32611
resnet,oracle_route,controlled_route_sensitive_v1_0014,separated,separated,0.195261,0.0,0.463174,0.0,0.0,0.0,0.0,0.443903,0.255577,0.0,0.0,0.603436,0.0,0.0,0.0,1.300834
resnet,oracle_route,controlled_route_sensitive_v1_0015,mixed,mixed,0.0,0.0,1.271511,0.0,0.0,0.0,0.0,0.742201,0.489972,0.0,0.0,0.739646,0.0,0.0,0.0,0.523279
resnet,oracle_route,controlled_route_sensitive_v1_0016,mixed,mixed,0.0,0.0,1.287398,0.0,0.0,0.0,0.0,1.062213,0.865891,0.0,0.0,1.214557,0.0,0.0,0.0,0.477109
resnet,oracle_route,controlled_route_sensitive_v1_0018,separated,separated,0.0,0.0,1.19907,0.0,0.0,0.0,0.0,0.67407,0.510974,0.0,0.0,0.566804,0.0,0.0,0.0,0.764788
resnet,oracle_route,controlled_route_sensitive_v1_0019,separated,separated,0.0,0.0,0.810515,0.0,0.0,0.0,0.0,0.511759,0.426206,0.0,0.0,0.454351,0.0,0.0,0.0,1.004633
resnet,oracle_route,controlled_route_sensitive_v1_0021,separated,separated,0.0,0.0,0.82011,0.0,0.0,0.0,0.0,0.591727,0.440881,0.0,0.0,0.582635,0.0,0.0,0.0,0.674548
resnet,oracle_route,controlled_route_sensitive_v1_0026,separated,separated,0.0,0.0,0.811029,0.0,0.0,0.0,0.0,0.474942,0.355246,0.0,0.0,0.567254,0.0,0.0,0.0,1.376245
resnet,oracle_route,controlled_route_sensitive_v1_0027,separated,separated,0.0,0.0,1.194957,0.0,0.0,0.0,0.0,0.92801,0.734113,0.0,0.0,0.957288,0.0,0.0,0.0,0.703592
