sample_id,predicted_route,confidence,risk_reason,suggested_action,transcript_path
SyntheticHeavyOverlap_test_01,mixed,0.446506,mixed favored because overlap_ratio=0.70 or transcript repetition risk=12.80 makes separation risky; confidence=0.45,manual_review,
SyntheticMidOverlap_test_08,mixed,0.393913,mixed favored because overlap_ratio=0.45 or transcript repetition risk=1.05 makes separation risky; confidence=0.39,manual_review,
SyntheticMidOverlap_test_09,mixed,0.365011,mixed favored because overlap_ratio=0.45 or transcript repetition risk=0.96 makes separation risky; confidence=0.37,manual_review,
SyntheticMidOverlap_test_10,mixed,0.452523,mixed favored because overlap_ratio=0.45 or transcript repetition risk=10.25 makes separation risky; confidence=0.45,manual_review,
SyntheticNoOverlap_test_01,mixed,0.389902,mixed favored because overlap_ratio=0.00 or transcript repetition risk=12.81 makes separation risky; confidence=0.39,manual_review,
SyntheticNoOverlap_test_02,mixed,0.349727,mixed favored because overlap_ratio=0.00 or transcript repetition risk=1.00 makes separation risky; confidence=0.35,manual_review,
SyntheticNoOverlap_test_03,mixed,0.349818,mixed favored because overlap_ratio=0.00 or transcript repetition risk=0.69 makes separation risky; confidence=0.35,manual_review,
SyntheticNoOverlap_test_04,mixed,0.374923,mixed favored because overlap_ratio=0.00 or transcript repetition risk=1.32 makes separation risky; confidence=0.37,manual_review,
SyntheticNoOverlap_test_05,mixed,0.375536,mixed favored because overlap_ratio=0.00 or transcript repetition risk=0.88 makes separation risky; confidence=0.38,manual_review,
SyntheticNoOverlap_test_06,mixed,0.359218,mixed favored because overlap_ratio=0.00 or transcript repetition risk=1.89 makes separation risky; confidence=0.36,manual_review,
SyntheticNoOverlap_test_07,mixed,0.36753,mixed favored because overlap_ratio=0.00 or transcript repetition risk=4.44 makes separation risky; confidence=0.37,manual_review,
SyntheticNoOverlap_test_08,mixed,0.371032,mixed favored because overlap_ratio=0.00 or transcript repetition risk=1.29 makes separation risky; confidence=0.37,manual_review,
SyntheticNoOverlap_test_09,mixed,0.361724,mixed favored because overlap_ratio=0.00 or transcript repetition risk=1.35 makes separation risky; confidence=0.36,manual_review,
SyntheticNoOverlap_test_10,mixed,0.52528,mixed favored because overlap_ratio=0.00 or transcript repetition risk=21.50 makes separation risky; confidence=0.53,llm_critic_review,
SyntheticOppositeOverlap_test_01,mixed,0.404373,mixed favored because overlap_ratio=0.90 or transcript repetition risk=2.44 makes separation risky; confidence=0.40,manual_review,
SyntheticOppositeOverlap_test_02,mixed,0.365092,mixed favored because overlap_ratio=0.90 or transcript repetition risk=2.06 makes separation risky; confidence=0.37,manual_review,
SyntheticOppositeOverlap_test_03,separated,0.371524,separated favored because overlap_ratio=0.90 suggests separation can reduce occlusion; confidence=0.37,manual_review,
SyntheticOppositeOverlap_test_04,mixed,0.398026,mixed favored because overlap_ratio=0.90 or transcript repetition risk=2.67 makes separation risky; confidence=0.40,manual_review,
SyntheticOppositeOverlap_test_05,mixed,0.442551,mixed favored because overlap_ratio=0.90 or transcript repetition risk=3.09 makes separation risky; confidence=0.44,manual_review,
SyntheticOppositeOverlap_test_06,separated,0.381439,separated favored because overlap_ratio=0.90 suggests separation can reduce occlusion; confidence=0.38,manual_review,
SyntheticOppositeOverlap_test_07,mixed,0.393709,mixed favored because overlap_ratio=0.90 or transcript repetition risk=2.27 makes separation risky; confidence=0.39,manual_review,
SyntheticOppositeOverlap_test_08,mixed,0.421917,mixed favored because overlap_ratio=0.90 or transcript repetition risk=4.50 makes separation risky; confidence=0.42,manual_review,
SyntheticOppositeOverlap_test_09,separated,0.391154,separated favored because overlap_ratio=0.90 suggests separation can reduce occlusion; confidence=0.39,manual_review,
SyntheticOppositeOverlap_test_10,separated,0.383814,separated favored because overlap_ratio=0.90 suggests separation can reduce occlusion; confidence=0.38,manual_review,
audio_depth_stress_v1_0012,mixed,0.363408,mixed favored because overlap_ratio=0.10 or transcript repetition risk=0.63 makes separation risky; confidence=0.36,manual_review,
audio_depth_stress_v1_0014,mixed,0.358407,mixed favored because overlap_ratio=0.30 or transcript repetition risk=0.43 makes separation risky; confidence=0.36,manual_review,
audio_depth_stress_v1_0015,mixed,0.355488,mixed favored because overlap_ratio=0.40 or transcript repetition risk=0.33 makes separation risky; confidence=0.36,manual_review,
audio_depth_stress_v1_0018,separated,0.378563,separated favored because overlap_ratio=0.70 suggests separation can reduce occlusion; confidence=0.38,manual_review,
audio_depth_stress_v1_0022,mixed,0.364558,mixed favored because overlap_ratio=0.10 or transcript repetition risk=0.45 makes separation risky; confidence=0.36,manual_review,
audio_depth_stress_v1_0032,mixed,0.364932,mixed favored because overlap_ratio=0.10 or transcript repetition risk=0.67 makes separation risky; confidence=0.36,manual_review,
audio_depth_stress_v1_0035,mixed,0.355611,mixed favored because overlap_ratio=0.40 or transcript repetition risk=0.37 makes separation risky; confidence=0.36,manual_review,
audio_depth_stress_v1_0039,separated,0.386005,separated favored because overlap_ratio=0.80 suggests separation can reduce occlusion; confidence=0.39,manual_review,
audio_depth_stress_v1_0051,mixed,0.359371,mixed favored because overlap_ratio=0.00 or transcript repetition risk=0.73 makes separation risky; confidence=0.36,manual_review,
audio_depth_stress_v1_0052,mixed,0.380371,mixed favored because overlap_ratio=0.10 or transcript repetition risk=0.63 makes separation risky; confidence=0.38,manual_review,
audio_depth_stress_v1_0053,mixed,0.390381,mixed favored because overlap_ratio=0.20 or transcript repetition risk=0.53 makes separation risky; confidence=0.39,manual_review,
audio_depth_stress_v1_0059,separated,0.356888,separated favored because overlap_ratio=0.80 suggests separation can reduce occlusion; confidence=0.36,manual_review,
audio_depth_stress_v1_0068,separated,0.354754,separated favored because overlap_ratio=0.70 suggests separation can reduce occlusion; confidence=0.35,manual_review,
audio_depth_stress_v1_0078,separated,0.358076,separated favored because overlap_ratio=0.70 suggests separation can reduce occlusion; confidence=0.36,manual_review,
