sample_id,source_disjoint_split,benchmark_status,reference_type,reference_quality_label,claimed_as_gold,char_count,word_count,risk_flags,exclusion_reason
controlled_route_sensitive_v2_0028,validation,included_source_disjoint,silver_plus_unverified,review_required,False,59,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0030,train,included_source_disjoint,silver_plus_unverified,review_required,False,77,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0033,train,included_source_disjoint,silver_plus_unverified,review_required,False,97,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0035,train,included_source_disjoint,silver_plus_unverified,review_required,False,67,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0038,train,included_source_disjoint,silver_plus_unverified,review_required,False,65,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0039,validation,included_source_disjoint,silver_plus_unverified,review_required,False,67,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0041,train,included_source_disjoint,silver_plus_unverified,review_required,False,85,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0043,test,included_source_disjoint,silver_plus_unverified,review_required,False,71,8,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0044,train,included_source_disjoint,silver_plus_unverified,review_required,False,119,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0045,validation,included_source_disjoint,silver_plus_unverified,review_required,False,93,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0046,train,included_source_disjoint,silver_plus_unverified,review_required,False,65,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0048,test,included_source_disjoint,silver_plus_unverified,review_required,False,67,8,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0049,train,included_source_disjoint,silver_plus_unverified,review_required,False,63,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0052,train,included_source_disjoint,silver_plus_unverified,review_required,False,73,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0053,test,included_source_disjoint,silver_plus_unverified,review_required,False,53,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0054,test,included_source_disjoint,silver_plus_unverified,review_required,False,89,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0055,train,included_source_disjoint,silver_plus_unverified,review_required,False,113,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0056,validation,included_source_disjoint,silver_plus_unverified,review_required,False,79,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0060,train,included_source_disjoint,silver_plus_unverified,review_required,False,61,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0063,train,included_source_disjoint,silver_plus_unverified,review_required,False,71,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0065,test,included_source_disjoint,silver_plus_unverified,review_required,False,73,8,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0066,train,included_source_disjoint,silver_plus_unverified,review_required,False,101,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0077,train,included_source_disjoint,silver_plus_unverified,review_required,False,97,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0081,test,included_source_disjoint,silver_plus_unverified,review_required,False,63,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0095,train,included_source_disjoint,silver_plus_unverified,review_required,False,61,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0098,test,included_source_disjoint,silver_plus_unverified,review_required,False,69,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0106,train,included_source_disjoint,silver_plus_unverified,review_required,False,69,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0113,validation,included_source_disjoint,silver_plus_unverified,review_required,False,79,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0117,train,included_source_disjoint,silver_plus_unverified,review_required,False,83,6,not_manual_gold,manual_review_before_gold_promotion
controlled_route_sensitive_v2_0119,test,included_source_disjoint,silver_plus_unverified,review_required,False,55,8,not_manual_gold,manual_review_before_gold_promotion
