sample_id,source_disjoint_split,benchmark_status,reference_type,reference_quality_label,claimed_as_gold,char_count,word_count,risk_flags
controlled_route_sensitive_v2_0058,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,87,6,not_manual_gold
controlled_route_sensitive_v2_0059,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,59,6,not_manual_gold
controlled_route_sensitive_v2_0060,train,included_source_disjoint,silver_plus_unverified,review_required,False,61,6,not_manual_gold
controlled_route_sensitive_v2_0061,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,69,6,not_manual_gold
controlled_route_sensitive_v2_0062,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,81,6,not_manual_gold
controlled_route_sensitive_v2_0063,train,included_source_disjoint,silver_plus_unverified,review_required,False,71,6,not_manual_gold
controlled_route_sensitive_v2_0064,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,51,6,not_manual_gold
controlled_route_sensitive_v2_0065,test,included_source_disjoint,silver_plus_unverified,review_required,False,73,8,not_manual_gold
controlled_route_sensitive_v2_0066,train,included_source_disjoint,silver_plus_unverified,review_required,False,101,6,not_manual_gold
controlled_route_sensitive_v2_0067,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,75,6,not_manual_gold
controlled_route_sensitive_v2_0068,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,79,6,not_manual_gold
controlled_route_sensitive_v2_0069,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,81,6,not_manual_gold
controlled_route_sensitive_v2_0070,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,67,6,not_manual_gold
controlled_route_sensitive_v2_0071,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,83,6,not_manual_gold
controlled_route_sensitive_v2_0072,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,83,6,not_manual_gold
controlled_route_sensitive_v2_0073,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,59,6,not_manual_gold
controlled_route_sensitive_v2_0074,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,73,8,not_manual_gold
controlled_route_sensitive_v2_0075,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,59,6,not_manual_gold
controlled_route_sensitive_v2_0076,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,87,6,not_manual_gold
controlled_route_sensitive_v2_0077,train,included_source_disjoint,silver_plus_unverified,review_required,False,97,6,not_manual_gold
controlled_route_sensitive_v2_0078,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,73,6,not_manual_gold
controlled_route_sensitive_v2_0079,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,71,8,not_manual_gold
controlled_route_sensitive_v2_0080,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,67,6,not_manual_gold
controlled_route_sensitive_v2_0081,test,included_source_disjoint,silver_plus_unverified,review_required,False,63,6,not_manual_gold
controlled_route_sensitive_v2_0082,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,75,6,not_manual_gold
controlled_route_sensitive_v2_0083,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,65,6,not_manual_gold
controlled_route_sensitive_v2_0084,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,67,6,not_manual_gold
controlled_route_sensitive_v2_0085,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,91,6,not_manual_gold
controlled_route_sensitive_v2_0086,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,67,6,not_manual_gold
controlled_route_sensitive_v2_0087,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,65,6,not_manual_gold
controlled_route_sensitive_v2_0088,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,101,8,not_manual_gold
controlled_route_sensitive_v2_0089,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,95,6,not_manual_gold
controlled_route_sensitive_v2_0090,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,85,6,not_manual_gold
controlled_route_sensitive_v2_0091,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,65,6,not_manual_gold
controlled_route_sensitive_v2_0092,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,69,6,not_manual_gold
controlled_route_sensitive_v2_0093,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,67,8,not_manual_gold
controlled_route_sensitive_v2_0094,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,63,6,not_manual_gold
controlled_route_sensitive_v2_0095,train,included_source_disjoint,silver_plus_unverified,review_required,False,61,6,not_manual_gold
controlled_route_sensitive_v2_0096,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,83,6,not_manual_gold
controlled_route_sensitive_v2_0097,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,55,6,not_manual_gold
controlled_route_sensitive_v2_0098,test,included_source_disjoint,silver_plus_unverified,review_required,False,69,6,not_manual_gold
controlled_route_sensitive_v2_0099,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,119,6,not_manual_gold
controlled_route_sensitive_v2_0100,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,89,6,not_manual_gold
controlled_route_sensitive_v2_0101,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,71,6,not_manual_gold
controlled_route_sensitive_v2_0102,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,69,8,not_manual_gold
controlled_route_sensitive_v2_0103,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,83,6,not_manual_gold
controlled_route_sensitive_v2_0104,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,59,6,not_manual_gold
controlled_route_sensitive_v2_0105,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,61,6,not_manual_gold
controlled_route_sensitive_v2_0106,train,included_source_disjoint,silver_plus_unverified,review_required,False,69,6,not_manual_gold
controlled_route_sensitive_v2_0107,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,89,6,not_manual_gold
controlled_route_sensitive_v2_0108,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,53,6,not_manual_gold
controlled_route_sensitive_v2_0109,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,67,6,not_manual_gold
controlled_route_sensitive_v2_0110,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,103,8,not_manual_gold
controlled_route_sensitive_v2_0111,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,77,6,not_manual_gold
controlled_route_sensitive_v2_0112,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,67,6,not_manual_gold
controlled_route_sensitive_v2_0113,validation,included_source_disjoint,silver_plus_unverified,review_required,False,79,6,not_manual_gold
controlled_route_sensitive_v2_0114,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,77,6,not_manual_gold
controlled_route_sensitive_v2_0115,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,67,6,not_manual_gold
controlled_route_sensitive_v2_0116,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,83,6,not_manual_gold
controlled_route_sensitive_v2_0117,train,included_source_disjoint,silver_plus_unverified,review_required,False,83,6,not_manual_gold
controlled_route_sensitive_v2_0118,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,67,6,not_manual_gold
controlled_route_sensitive_v2_0119,test,included_source_disjoint,silver_plus_unverified,review_required,False,55,8,not_manual_gold
controlled_route_sensitive_v2_0120,excluded,excluded_cross_partition,silver_plus_unverified,review_required,False,75,6,not_manual_gold
