sample_id,split,overlap_ratio,overlap_percent,dominance_condition,duration_bucket,interruption_style,mixed_cer,separated_cer,cleaned_cer,separation_delta_cer,evidence_type,notes,best_route_label
audio_depth_stress_v1_0030,train,0.9,90,balanced,short,clean_turn_taking,0.562,0.2016,0.2456,-0.3604,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0031,test,0.0,0,weak_target_speaker,short,clean_turn_taking,0.084,0.5445,0.285,0.4605,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0032,dev,0.1,10,weak_target_speaker,short,clean_turn_taking,0.142,0.252,0.237,0.11,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0033,train,0.2,20,weak_target_speaker,short,clean_turn_taking,0.2,0.232,0.239,0.032,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0034,train,0.3,30,weak_target_speaker,short,clean_turn_taking,0.258,0.212,0.241,-0.046,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0035,train,0.4,40,weak_target_speaker,short,clean_turn_taking,0.316,0.202,0.242,-0.114,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0036,test,0.5,50,weak_target_speaker,short,clean_turn_taking,0.374,0.202,0.242,-0.172,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0037,dev,0.6,60,weak_target_speaker,short,clean_turn_taking,0.432,0.202,0.242,-0.23,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0038,train,0.7,70,weak_target_speaker,short,clean_turn_taking,0.49,0.202,0.242,-0.288,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0039,train,0.8,80,weak_target_speaker,short,clean_turn_taking,0.548,0.2056,0.2456,-0.3424,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0040,train,0.9,90,weak_target_speaker,short,clean_turn_taking,0.606,0.2236,0.2676,-0.3824,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0041,test,0.0,0,speaker_a_dominant,medium,clean_turn_taking,0.086,0.5055,0.281,0.4195,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0042,dev,0.1,10,speaker_a_dominant,medium,clean_turn_taking,0.144,0.248,0.233,0.104,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0043,train,0.2,20,speaker_a_dominant,medium,clean_turn_taking,0.202,0.228,0.235,0.026,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0044,train,0.3,30,speaker_a_dominant,medium,clean_turn_taking,0.26,0.208,0.237,-0.052,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0045,train,0.4,40,speaker_a_dominant,medium,clean_turn_taking,0.318,0.198,0.238,-0.12,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0046,test,0.5,50,speaker_a_dominant,medium,clean_turn_taking,0.376,0.198,0.238,-0.178,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0047,dev,0.6,60,speaker_a_dominant,medium,clean_turn_taking,0.434,0.198,0.238,-0.236,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0048,train,0.7,70,speaker_a_dominant,medium,clean_turn_taking,0.492,0.198,0.238,-0.294,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0049,train,0.8,80,speaker_a_dominant,medium,clean_turn_taking,0.55,0.2016,0.2416,-0.3484,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0050,train,0.9,90,speaker_a_dominant,medium,clean_turn_taking,0.608,0.2196,0.2636,-0.3884,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0051,test,0.0,0,speaker_b_dominant,medium,clean_turn_taking,0.086,0.5055,0.281,0.4195,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0052,dev,0.1,10,speaker_b_dominant,medium,clean_turn_taking,0.144,0.248,0.233,0.104,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0053,train,0.2,20,speaker_b_dominant,medium,clean_turn_taking,0.202,0.228,0.235,0.026,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0054,train,0.3,30,speaker_b_dominant,medium,clean_turn_taking,0.26,0.208,0.237,-0.052,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0055,train,0.4,40,speaker_b_dominant,medium,clean_turn_taking,0.318,0.198,0.238,-0.12,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0056,test,0.5,50,speaker_b_dominant,medium,clean_turn_taking,0.376,0.198,0.238,-0.178,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0057,dev,0.6,60,speaker_b_dominant,medium,clean_turn_taking,0.434,0.198,0.238,-0.236,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0058,train,0.7,70,speaker_b_dominant,medium,clean_turn_taking,0.492,0.198,0.238,-0.294,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0059,train,0.8,80,speaker_b_dominant,medium,clean_turn_taking,0.55,0.2016,0.2416,-0.3484,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0060,train,0.9,90,speaker_b_dominant,medium,clean_turn_taking,0.608,0.2196,0.2636,-0.3884,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0061,test,0.0,0,balanced,medium,clean_turn_taking,0.05,0.33,0.263,0.28,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0062,dev,0.1,10,balanced,medium,clean_turn_taking,0.108,0.23,0.215,0.122,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0063,train,0.2,20,balanced,medium,clean_turn_taking,0.166,0.21,0.217,0.044,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0064,train,0.3,30,balanced,medium,clean_turn_taking,0.224,0.19,0.219,-0.034,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0065,train,0.4,40,balanced,medium,clean_turn_taking,0.282,0.18,0.22,-0.102,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0066,test,0.5,50,balanced,medium,clean_turn_taking,0.34,0.18,0.22,-0.16,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0067,dev,0.6,60,balanced,medium,clean_turn_taking,0.398,0.18,0.22,-0.218,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0068,train,0.7,70,balanced,medium,clean_turn_taking,0.456,0.18,0.22,-0.276,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0069,train,0.8,80,balanced,medium,clean_turn_taking,0.514,0.1836,0.2236,-0.3304,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0070,train,0.9,90,balanced,medium,clean_turn_taking,0.572,0.2016,0.2456,-0.3704,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0071,test,0.0,0,weak_target_speaker,medium,clean_turn_taking,0.094,0.5445,0.285,0.4505,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0072,dev,0.1,10,weak_target_speaker,medium,clean_turn_taking,0.152,0.252,0.237,0.1,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0073,train,0.2,20,weak_target_speaker,medium,clean_turn_taking,0.21,0.232,0.239,0.022,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,mixed
audio_depth_stress_v1_0074,train,0.3,30,weak_target_speaker,medium,clean_turn_taking,0.268,0.212,0.241,-0.056,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0075,train,0.4,40,weak_target_speaker,medium,clean_turn_taking,0.326,0.202,0.242,-0.124,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0076,test,0.5,50,weak_target_speaker,medium,clean_turn_taking,0.384,0.202,0.242,-0.182,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0077,dev,0.6,60,weak_target_speaker,medium,clean_turn_taking,0.442,0.202,0.242,-0.24,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0078,train,0.7,70,weak_target_speaker,medium,clean_turn_taking,0.5,0.202,0.242,-0.298,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0079,train,0.8,80,weak_target_speaker,medium,clean_turn_taking,0.558,0.2056,0.2456,-0.3524,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
audio_depth_stress_v1_0080,train,0.9,90,weak_target_speaker,medium,clean_turn_taking,0.616,0.2236,0.2676,-0.3924,synthetic/silver_proxy,Proxy CER generated because Whisper is unavailable in this environment; do not treat as real ASR CER.,separated
