sample_id,tier,overlap_ratio,sample_overlap_ratio,speaker,speaker_label,ref_valence,ref_arousal,ref_stance,d_sem_mixed,d_sem_sep,semantic_benefit,cer_mixed,cer_sep,cer_benefit,lexical_valence,lexical_fires,acoustic_arousal
SyntheticNoOverlap_03,SyntheticNoOverlap,0.0,0.0,2,pro,0.0,0.0,neutral,0.0,0.8544,-0.8544,1.666667,0.111111,1.555556,0.316228,1,2.818128732999157
SyntheticNoOverlap_04,SyntheticNoOverlap,0.0,0.0,1,con,0.0,0.0,neutral,0.0,0.0,0.0,0.111111,0.0,0.111111,0.0,0,3.473441293784839
SyntheticNoOverlap_04,SyntheticNoOverlap,0.0,0.0,2,pro,0.0,0.0,neutral,0.0,0.583095,-0.583095,1.111111,0.222222,0.8888889999999999,0.0,0,2.7785749247591895
SyntheticNoOverlap_05,SyntheticNoOverlap,0.0,0.0,1,con,0.2,0.0,neutral,0.3,0.282843,0.017156999999999978,1.888889,0.111111,1.777778,0.0,0,3.2946381285226596
SyntheticNoOverlap_05,SyntheticNoOverlap,0.0,0.0,2,pro,-0.3,0.2,support,0.509902,0.0,0.509902,0.625,0.0,0.625,0.0,0,3.459115305552983
SyntheticOppositeOverlap_01,SyntheticOppositeOverlap,0.8,0.8,1,con,0.8,0.3,support,1.3,0.0,1.3,1.6,0.0,1.6,0.0,0,3.5000715721839377
SyntheticOppositeOverlap_01,SyntheticOppositeOverlap,0.8,0.8,2,pro,-0.2,0.3,neutral,0.3,0.0,0.3,1.058824,0.0,1.058824,0.0,0,2.879210156373061
SyntheticOppositeOverlap_02,SyntheticOppositeOverlap,0.8,0.83,1,con,0.0,0.3,neutral,0.141421,0.0,0.141421,1.0,0.0,1.0,0.0,0,3.440545949431693
SyntheticOppositeOverlap_02,SyntheticOppositeOverlap,0.8,0.83,2,pro,0.8,0.3,support,0.905539,1.8,-0.8944610000000001,0.666667,0.466667,0.2,0.0,0,2.735772190360406
SyntheticOppositeOverlap_03,SyntheticOppositeOverlap,0.8,0.86,1,con,0.2,0.3,neutral,0.360555,0.0,0.360555,0.909091,0.0,0.909091,0.0,0,3.5814785573733063
SyntheticOppositeOverlap_03,SyntheticOppositeOverlap,0.8,0.86,2,pro,0.0,0.0,neutral,0.0,0.0,0.0,0.777778,0.0,0.777778,0.316228,1,2.9791904844897905
SyntheticOppositeOverlap_04,SyntheticOppositeOverlap,0.8,0.89,1,con,0.0,0.0,neutral,0.223607,0.0,0.223607,1.0,0.0,1.0,0.0,0,3.610181944023797
SyntheticOppositeOverlap_04,SyntheticOppositeOverlap,0.8,0.89,2,pro,0.0,0.0,neutral,0.223607,0.0,0.223607,1.333333,0.0,1.333333,0.0,0,2.9543331255536263
SyntheticOppositeOverlap_05,SyntheticOppositeOverlap,0.8,0.92,1,con,0.2,0.0,neutral,0.3,0.282843,0.017156999999999978,1.444444,0.111111,1.333333,0.0,0,3.446451199454577
SyntheticOppositeOverlap_05,SyntheticOppositeOverlap,0.8,0.92,2,pro,-0.3,0.2,support,0.509902,0.0,0.509902,0.625,0.0,0.625,0.0,0,1.9919240056091245
